Time (BJD_TBD - 2450000), F_star + F_g (mJy)
9.891595520833507180e+03,3.860257251002227274e+00
9.891595543725843527e+03,3.860257252485144619e+00
9.891595566618178054e+03,3.860257253968065516e+00
9.891595589510514401e+03,3.860257255450990854e+00
9.891595612402848928e+03,3.860257256933920633e+00
9.891595635295185275e+03,3.860257258416854853e+00
9.891595658187519803e+03,3.860257259899793070e+00
9.891595681079856149e+03,3.860257261382735283e+00
9.891595703972190677e+03,3.860257262865681938e+00
9.891595726864527023e+03,3.860257264348633921e+00
9.891595749756863370e+03,3.860257265831589013e+00
9.891595772649197897e+03,3.860257267314549434e+00
9.891595795541534244e+03,3.860257268797512964e+00
9.891595818433868772e+03,3.860257270280481823e+00
9.891595841326205118e+03,3.860257271763454234e+00
9.891595864218539646e+03,3.860257273246431087e+00
9.891595887110875992e+03,3.860257274729412824e+00
9.891595910003210520e+03,3.860257276212398114e+00
9.891595932895546866e+03,3.860257277695388289e+00
9.891595955787881394e+03,3.860257279178382017e+00
9.891595978680217740e+03,3.860257280661381074e+00
9.891596001572554087e+03,3.860257282144384128e+00
9.891596024464888615e+03,3.860257283627390734e+00
9.891596047357224961e+03,3.860257285110402670e+00
9.891596070249559489e+03,3.860257286593417714e+00
9.891596093141895835e+03,3.860257288076438087e+00
9.891596116034230363e+03,3.860257289559462901e+00
9.891596138926566709e+03,3.860257291042490824e+00
9.891596161818901237e+03,3.860257292525524075e+00
9.891596184711237584e+03,3.860257294008561324e+00
9.891596207603573930e+03,3.860257295491602125e+00
9.891596230495908458e+03,3.860257296974648256e+00
9.891596253388244804e+03,3.860257298457698827e+00
9.891596276280579332e+03,3.860257299940753395e+00
9.891596299172915678e+03,3.860257301423811516e+00
9.891596322065250206e+03,3.860257302906874521e+00
9.891596344957586552e+03,3.860257304389941968e+00
9.891596367849921080e+03,3.860257305873013856e+00
9.891596390742257427e+03,3.860257307356088852e+00
9.891596413634591954e+03,3.860257308839169177e+00
9.891596436526928301e+03,3.860257310322253943e+00
9.891596459419264647e+03,3.860257311805342706e+00
9.891596482311599175e+03,3.860257313288435910e+00
9.891596505203935521e+03,3.860257314771533554e+00
9.891596528096270049e+03,3.860257316254634308e+00
9.891596550988606396e+03,3.860257317737740390e+00
9.891596573880940923e+03,3.860257319220850913e+00
9.891596596773277270e+03,3.860257320703965433e+00
9.891596619665611797e+03,3.860257322187084394e+00
9.891596642557948144e+03,3.860257323670207352e+00
9.891596665450284490e+03,3.860257325153335195e+00
9.891596688342619018e+03,3.860257326636466590e+00
9.891596711234955364e+03,3.860257328119602871e+00
9.891596734127289892e+03,3.860257329602743148e+00
9.891596757019626239e+03,3.860257331085887866e+00
9.891596779911960766e+03,3.860257332569035693e+00
9.891596802804297113e+03,3.860257334052188849e+00
9.891596825696631640e+03,3.860257335535346446e+00
9.891596848588967987e+03,3.860257337018508483e+00
9.891596871481304333e+03,3.860257338501674518e+00
9.891596894373638861e+03,3.860257339984844549e+00
9.891596917265975208e+03,3.860257341468019465e+00
9.891596940158309735e+03,3.860257342951198378e+00
9.891596963050646082e+03,3.860257344434381288e+00
9.891596985942980609e+03,3.860257345917568639e+00
9.891597008835316956e+03,3.860257347400760430e+00
9.891597031727651483e+03,3.860257348883956663e+00
9.891597054619987830e+03,3.860257350367156892e+00
9.891597077512322358e+03,3.860257351850361562e+00
