Time (BJD_TBD - 2450000), F_c/F_star (ppm)
1.063802876466791531e+04,4.379564523491806085e+02
1.063802878650343337e+04,4.379628226460100109e+02
1.063802880833894960e+04,4.379691922858524435e+02
1.063802883017446766e+04,4.379755612697485958e+02
1.063802885200998389e+04,4.379819295966169079e+02
1.063802887384550013e+04,4.379882972669674359e+02
1.063802889568101818e+04,4.379946642813102358e+02
1.063802891751653442e+04,4.380010306385640320e+02
1.063802893935205066e+04,4.380073963392388237e+02
1.063802896118756871e+04,4.380137613838444395e+02
1.063802898302308495e+04,4.380201257712998313e+02
1.063802900485860118e+04,4.380264895021149982e+02
1.063802902669411924e+04,4.380328525767994279e+02
1.063802904852963547e+04,4.380392149942727542e+02
1.063802907036515171e+04,4.380455767550444648e+02
1.063802909220066977e+04,4.380519378596241040e+02
1.063802911403618600e+04,4.380582983069314196e+02
1.063802913587170406e+04,4.380646580980056797e+02
1.063802915770722029e+04,4.380710172317668594e+02
1.063802917954273653e+04,4.380773757087245031e+02
1.063802920137825458e+04,4.380837335293877572e+02
1.063802922321377082e+04,4.380900906926768812e+02
1.063802924504928706e+04,4.380964471991011919e+02
1.063802926688480511e+04,4.381028030491696654e+02
1.063802928872032135e+04,4.381091582418030725e+02
1.063802931055583758e+04,4.381155127775105029e+02
1.063802933239135564e+04,4.381218666568007620e+02
1.063802935422687187e+04,4.381282198785948481e+02
1.063802937606238811e+04,4.381345724434017370e+02
1.063802939789790616e+04,4.381409243517301206e+02
1.063802941973342240e+04,4.381472756025014519e+02
1.063802944156894046e+04,4.381536261967534074e+02
1.063802946340445669e+04,4.381599761334075538e+02
1.063802948523997293e+04,4.381663254129726397e+02
1.063802950707549098e+04,4.381726740359570726e+02
1.063802952891100722e+04,4.381790220012827035e+02
1.063802955074652346e+04,4.381853693094581104e+02
1.063802957258204151e+04,4.381917159609915871e+02
1.063802959441755775e+04,4.381980619548053824e+02
1.063802961625307398e+04,4.382044072914078470e+02
1.063802963808859204e+04,4.382107519713069905e+02
1.063802965992410827e+04,4.382170959934256302e+02
1.063802968175962451e+04,4.382234393582717757e+02
1.063802970359514256e+04,4.382297820663536072e+02
1.063802972543065880e+04,4.382361241165937713e+02
