Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.891597398005020295e+03,1.217229929438562230e+01
9.891597420897356642e+03,1.217218943944562426e+01
9.891597443789691170e+03,1.217207958465256290e+01
9.891597466682027516e+03,1.217196972998901039e+01
9.891597489574362044e+03,1.217185987547242298e+01
9.891597512466698390e+03,1.217175002108534621e+01
9.891597535359032918e+03,1.217164016684524874e+01
9.891597558251369264e+03,1.217153031273467789e+01
9.891597581143705611e+03,1.217142045876237333e+01
9.891597604036040138e+03,1.217131060493706407e+01
9.891597626928376485e+03,1.217120075124129919e+01
9.891597649820711013e+03,1.217109089769254915e+01
9.891597672713047359e+03,1.217098104427336125e+01
9.891597695605381887e+03,1.217087119100119175e+01
9.891597718497718233e+03,1.217076133785859504e+01
9.891597741390052761e+03,1.217065148486303627e+01
9.891597764282389107e+03,1.217054163199705741e+01
9.891597787174725454e+03,1.217043177926940700e+01
9.891597810067059982e+03,1.217032192668881230e+01
9.891597832959396328e+03,1.217021207423782236e+01
9.891597855851730856e+03,1.217010222193389879e+01
9.891597878744067202e+03,1.216999236975958709e+01
9.891597901636401730e+03,1.216988251773236307e+01
9.891597924528738076e+03,1.216977266583476514e+01
9.891597947421072604e+03,1.216966281408426553e+01
9.891597970313408950e+03,1.216955296246341511e+01
9.891597993205745297e+03,1.216944311098093934e+01
9.891598016098079825e+03,1.216933325964556900e+01
9.891598038990416171e+03,1.216922340843987094e+01
9.891598061882750699e+03,1.216911355738129785e+01
9.891598084775087045e+03,1.216900370645239704e+01
9.891598107667421573e+03,1.216889385567063897e+01
9.891598130559757919e+03,1.216878400501856561e+01
9.891598153452092447e+03,1.216867415451364742e+01
9.891598176344428794e+03,1.216856430413843526e+01
9.891598199236763321e+03,1.216845445391038005e+01
9.891598222129099668e+03,1.216834460381204686e+01
9.891598245021436014e+03,1.216823475385216291e+01
9.891598267913770542e+03,1.216812490403946256e+01
9.891598290806106888e+03,1.216801505435649133e+01
9.891598313698441416e+03,1.216790520482072147e+01
9.891598336590777762e+03,1.216779535541469492e+01
9.891598359483112290e+03,1.216768550615588218e+01
9.891598382375448637e+03,1.216757565702683230e+01
9.891598405267783164e+03,1.216746580804500333e+01
9.891598428160119511e+03,1.216735595919294965e+01
9.891598451052455857e+03,1.216724611047939675e+01
9.891598473944790385e+03,1.216713626191309139e+01
9.891598496837126731e+03,1.216702641347657377e+01
9.891598519729461259e+03,1.216691656518731612e+01
9.891598542621797606e+03,1.216680671702786576e+01
9.891598565514132133e+03,1.216669686901567360e+01
9.891598588406468480e+03,1.216658702113331003e+01
9.891598611298803007e+03,1.216647717339822599e+01
9.891598634191139354e+03,1.216636732579297231e+01
9.891598657083473881e+03,1.216625747833501237e+01
9.891598679975810228e+03,1.216614763100689345e+01
9.891598702868146574e+03,1.216603778381734990e+01
9.891598725760481102e+03,1.216592793677512674e+01
9.891598748652817449e+03,1.216581808986276769e+01
9.891598771545151976e+03,1.216570824309772725e+01
9.891598794437488323e+03,1.216559839646257757e+01
9.891598817329822850e+03,1.216548854997475360e+01
9.891598840222159197e+03,1.216537870361682394e+01
9.891598863114493724e+03,1.216526885740624664e+01
9.891598886006830071e+03,1.216515901132556721e+01
9.891598908899166418e+03,1.216504916538352354e+01
9.891598931791500945e+03,1.216493931958885533e+01
9.891598954683837292e+03,1.216482947392411340e+01
9.891598977576171819e+03,1.216471962840675225e+01
9.891599000468508166e+03,1.216460978301932627e+01
9.891599023360842693e+03,1.216449993777929706e+01
9.891599046253179040e+03,1.216439009266921012e+01
9.891599069145513567e+03,1.216428024770653593e+01
9.891599092037849914e+03,1.216417040287382179e+01
9.891599114930186261e+03,1.216406055817980558e+01
9.891599137822520788e+03,1.216395071363321101e+01
9.891599160714857135e+03,1.216384086921660312e+01
9.891599183607191662e+03,1.216373102494743819e+01
9.891599206499528009e+03,1.216362118080826704e+01
9.891599229391862536e+03,1.216351133681654240e+01
9.891599252284198883e+03,1.216340149295483286e+01
9.891599275176533411e+03,1.216329164924058759e+01
9.891599298068869757e+03,1.216318180565635743e+01
9.891599320961204285e+03,1.216307196221961107e+01
9.891599343853540631e+03,1.216296211891289225e+01
9.891599366745876978e+03,1.216285227574495309e+01
9.891599389638211505e+03,1.216274243272450484e+01
9.891599412530547852e+03,1.216263258983410367e+01
9.891599435422882379e+03,1.216252274709122005e+01
9.891599458315218726e+03,1.216241290447839418e+01
9.891599481207553254e+03,1.216230306201310007e+01
9.891599504099889600e+03,1.216219321967787792e+01
9.891599526992224128e+03,1.216208337749019996e+01
9.891599549884560474e+03,1.216197353543261173e+01
9.891599572776896821e+03,1.216186369351384755e+01
9.891599595669231348e+03,1.216175385174263468e+01
9.891599618561567695e+03,1.216164401010153817e+01
9.891599641453902223e+03,1.216153416860801073e+01
9.891599664346238569e+03,1.216142432724459965e+01
9.891599687238573097e+03,1.216131448602877896e+01
9.891599710130909443e+03,1.216120464494308884e+01
9.891599733023243971e+03,1.216109480400499798e+01
9.891599755915580317e+03,1.216098496319705902e+01
9.891599778807914845e+03,1.216087512253672642e+01
9.891599801700251192e+03,1.216076528200655638e+01
9.891599824592587538e+03,1.216065544161527434e+01
9.891599847484922066e+03,1.216054560137162710e+01
9.891599870377258412e+03,1.216043576125815484e+01
9.891599893269592940e+03,1.216032592129232981e+01
9.891599916161929286e+03,1.216021608145669397e+01
9.891599939054263814e+03,1.216010624176871424e+01
9.891599961946600160e+03,1.215999640221095035e+01
9.891599984838934688e+03,1.215988656280083902e+01
9.891600007731271035e+03,1.215977672352095595e+01
9.891600030623607381e+03,1.215966688438001775e+01
9.891600053515941909e+03,1.215955704538677296e+01
9.891600076408278255e+03,1.215944720652376176e+01
9.891600099300612783e+03,1.215933736780845464e+01
9.891600122192949129e+03,1.215922752922340067e+01
9.891600145085283657e+03,1.215911769078605609e+01
9.891600167977620004e+03,1.215900785247897176e+01
9.891600190869954531e+03,1.215889801431961814e+01
9.891600213762290878e+03,1.215878817629054254e+01
9.891600236654627224e+03,1.215867833840047396e+01
9.891600259546961752e+03,1.215856850065815209e+01
9.891600282439298098e+03,1.215845866304612244e+01
9.891600305331632626e+03,1.215834882558185726e+01
9.891600328223968972e+03,1.215823898824790028e+01
9.891600351116303500e+03,1.215812915106170777e+01
9.891600374008639847e+03,1.215801931400585190e+01
9.891600396900974374e+03,1.215790947709777114e+01
9.891600419793310721e+03,1.215779964032001992e+01
9.891600442685645248e+03,1.215768980369007224e+01
9.891600465577981595e+03,1.215757996719046652e+01
9.891600488470317941e+03,1.215747013082994954e+01
9.891600511362652469e+03,1.215736029461723966e+01
9.891600534254988816e+03,1.215725045853490549e+01
9.891600557147323343e+03,1.215714062260039974e+01
9.891600580039659690e+03,1.215703078679627325e+01
9.891600602931994217e+03,1.215692095113998938e+01
9.891600625824330564e+03,1.215681111561409189e+01
9.891600648716665091e+03,1.215670128023605479e+01
9.891600671609001438e+03,1.215659144498842004e+01
9.891600694501337784e+03,1.215648160987992910e+01
9.891600717393672312e+03,1.215637177491931276e+01
9.891600740286008659e+03,1.215626194008911654e+01
9.891600763178343186e+03,1.215615210540681090e+01
9.891600786070679533e+03,1.215604227085494848e+01
9.891600808963014060e+03,1.215593243645098198e+01
9.891600831855350407e+03,1.215582260217746224e+01
9.891600854747684934e+03,1.215571276805185796e+01
9.891600877640021281e+03,1.215560293405671644e+01
9.891600900532355809e+03,1.215549310020950280e+01
9.891600923424692155e+03,1.215538326649276790e+01
9.891600946317028502e+03,1.215527343291524609e+01
9.891600969209363029e+03,1.215516359948566638e+01
9.891600992101699376e+03,1.215505376618657785e+01
9.891601014994033903e+03,1.215494393303545273e+01
9.891601037886370250e+03,1.215483410001483122e+01
9.891601060778704777e+03,1.215472426714218557e+01
9.891601083671041124e+03,1.215461443440006484e+01
9.891601106563375652e+03,1.215450460180591818e+01
9.891601129455711998e+03,1.215439476934231600e+01
9.891601152348048345e+03,1.215428493701798196e+01
9.891601175240382872e+03,1.215417510484164865e+01
9.891601198132719219e+03,1.215406527279586690e+01
9.891601221025053746e+03,1.215395544089810542e+01
9.891601243917390093e+03,1.215384560913090617e+01
9.891601266809724621e+03,1.215373577751173961e+01
9.891601289702060967e+03,1.215362594602314950e+01
9.891601312594395495e+03,1.215351611468260629e+01
9.891601335486731841e+03,1.215340628347265728e+01
9.891601358379068188e+03,1.215329645240203504e+01
9.891601381271402715e+03,1.215318662147947215e+01
9.891601404163739062e+03,1.215307679068751767e+01
9.891601427056073589e+03,1.215296696004364030e+01
9.891601449948409936e+03,1.215285712953038555e+01
9.891601472840744464e+03,1.215274729916522212e+01
9.891601495733080810e+03,1.215263746893069907e+01
9.891601518625415338e+03,1.215252763884427267e+01
9.891601541517751684e+03,1.215241780888850087e+01
9.891601564410086212e+03,1.215230797908083993e+01
9.891601587302422558e+03,1.215219814940383714e+01
9.891601610194758905e+03,1.215208831986623395e+01
9.891601633087093433e+03,1.215197849047676648e+01
9.891601655979429779e+03,1.215186866121798381e+01
9.891601678871764307e+03,1.215175883210733865e+01
9.891601701764100653e+03,1.215164900312739960e+01
9.891601724656435181e+03,1.215153917429561403e+01
9.891601747548771527e+03,1.215142934559453991e+01
9.891601770441106055e+03,1.215131951704162816e+01
9.891601793333442401e+03,1.215120968861944739e+01
9.891601816225778748e+03,1.215109986033671774e+01
9.891601839118113276e+03,1.215099003220218243e+01
9.891601862010449622e+03,1.215088020419838344e+01
9.891601884902784150e+03,1.215077037634279122e+01
9.891601907795120496e+03,1.215066054861796196e+01
9.891601930687455024e+03,1.215055072104133593e+01
9.891601953579791370e+03,1.215044089359548352e+01
9.891601976472125898e+03,1.215033106629785742e+01
9.891601999364462245e+03,1.215022123913100849e+01
9.891602022256796772e+03,1.215011141211240542e+01
9.891602045149133119e+03,1.215000158522459195e+01
9.891602068041469465e+03,1.214989175847631131e+01
