Time (BJD_TBD - 2450000), F_star + F_e (mJy)
9.913946643518749624e+03,2.653340631159167629e+00
9.913946661622412648e+03,2.653340631944177019e+00
9.913946679726073853e+03,2.653340632729108250e+00
9.913946697829736877e+03,2.653340633513960878e+00
9.913946715933398082e+03,2.653340634298735790e+00
9.913946734037061105e+03,2.653340635083432097e+00
9.913946752140722310e+03,2.653340635868051134e+00
9.913946770244385334e+03,2.653340636652591567e+00
9.913946788348046539e+03,2.653340637437053395e+00
9.913946806451709563e+03,2.653340638221437064e+00
9.913946824555372586e+03,2.653340639005743462e+00
9.913946842659033791e+03,2.653340639789970812e+00
9.913946860762696815e+03,2.653340640574120890e+00
9.913946878866358020e+03,2.653340641358192364e+00
9.913946896970021044e+03,2.653340642142185679e+00
9.913946915073682248e+03,2.653340642926100834e+00
9.913946933177345272e+03,2.653340643709938274e+00
9.913946951281006477e+03,2.653340644493697553e+00
9.913946969384669501e+03,2.653340645277377785e+00
9.913946987488332525e+03,2.653340646060980745e+00
9.913947005591993729e+03,2.653340646844505546e+00
9.913947023695656753e+03,2.653340647627952187e+00
9.913947041799317958e+03,2.653340648411320224e+00
9.913947059902980982e+03,2.653340649194610101e+00
9.913947078006642187e+03,2.653340649977822263e+00
9.913947096110305210e+03,2.653340650760955821e+00
9.913947114213966415e+03,2.653340651544012108e+00
9.913947132317629439e+03,2.653340652326989790e+00
9.913947150421292463e+03,2.653340653109888869e+00
9.913947168524953668e+03,2.653340653892710677e+00
9.913947186628616691e+03,2.653340654675453880e+00
9.913947204732277896e+03,2.653340655458118480e+00
9.913947222835940920e+03,2.653340656240705808e+00
9.913947240939602125e+03,2.653340657023214533e+00
9.913947259043265149e+03,2.653340657805645098e+00
9.913947277146926353e+03,2.653340658587997503e+00
9.913947295250589377e+03,2.653340659370271748e+00
9.913947313354252401e+03,2.653340660152467834e+00
9.913947331457913606e+03,2.653340660934586204e+00
9.913947349561576630e+03,2.653340661716625970e+00
9.913947367665237834e+03,2.653340662498588021e+00
9.913947385768900858e+03,2.653340663280471468e+00
9.913947403872562063e+03,2.653340664062276755e+00
9.913947421976225087e+03,2.653340664844004326e+00
9.913947440079888111e+03,2.653340665625653738e+00
9.913947458183549315e+03,2.653340666407224990e+00
9.913947476287212339e+03,2.653340667188717639e+00
9.913947494390873544e+03,2.653340667970132127e+00
9.913947512494536568e+03,2.653340668751468900e+00
9.913947530598197773e+03,2.653340669532727514e+00
9.913947548701860796e+03,2.653340670313907967e+00
9.913947566805522001e+03,2.653340671095010261e+00
9.913947584909185025e+03,2.653340671876033952e+00
9.913947603012848049e+03,2.653340672656979926e+00
9.913947621116509254e+03,2.653340673437847741e+00
9.913947639220172277e+03,2.653340674218637396e+00
9.913947657323833482e+03,2.653340674999348892e+00
9.913947675427496506e+03,2.653340675779982227e+00
9.913947693531157711e+03,2.653340676560536959e+00
9.913947711634820735e+03,2.653340677341014420e+00
9.913947729738481939e+03,2.653340678121412832e+00
9.913947747842144963e+03,2.653340678901733973e+00
9.913947765945807987e+03,2.653340679681976511e+00
9.913947784049469192e+03,2.653340680462140888e+00
9.913947802153132216e+03,2.653340681242227550e+00
9.913947820256793420e+03,2.653340682022235164e+00
9.913947838360456444e+03,2.653340682802165507e+00
9.913947856464117649e+03,2.653340683582017245e+00
9.913947874567780673e+03,2.653340684361790824e+00
9.913947892671441878e+03,2.653340685141486244e+00
9.913947910775104901e+03,2.653340685921103947e+00
