Time (BJD_TBD - 2450000), F_h/F_star (ppm)
9.896131936287538338e+03,9.402797481163013837e-02
9.896131959143989661e+03,9.404103780995934359e-02
9.896131982000442804e+03,9.405410171391136165e-02
9.896132004856895946e+03,9.406716652244570542e-02
9.896132027713347270e+03,9.408023223452187389e-02
9.896132050569800413e+03,9.409329885221913436e-02
9.896132073426251736e+03,9.410636637345651256e-02
9.896132096282704879e+03,9.411943480031496889e-02
9.896132119139156202e+03,9.413250413071007350e-02
9.896132141995609345e+03,9.414557436672454926e-02
9.896132164852060669e+03,9.415864550627395246e-02
9.896132187708513811e+03,9.417171755144271295e-02
9.896132210564965135e+03,9.418479050014468001e-02
9.896132233421418277e+03,9.419786435446256267e-02
9.896132256277869601e+03,9.421093911231365192e-02
9.896132279134322744e+03,9.422401477577892204e-02
9.896132301990775886e+03,9.423709134381788588e-02
9.896132324847227210e+03,9.425016881538660074e-02
9.896132347703680352e+03,9.426324719256777562e-02
9.896132370560131676e+03,9.427632647327871540e-02
9.896132393416584819e+03,9.428940665959864575e-02
9.896132416273036142e+03,9.430248774944662016e-02
9.896132439129489285e+03,9.431556974490531986e-02
9.896132461985940608e+03,9.432865264388859416e-02
9.896132484842393751e+03,9.434173644847916596e-02
9.896132507698845075e+03,9.435482115659429847e-02
9.896132530555298217e+03,9.436790677031671459e-02
9.896132553411751360e+03,9.438099328860248549e-02
9.896132576268202683e+03,9.439408071041109627e-02
9.896132599124655826e+03,9.440716903782181424e-02
9.896132621981107150e+03,9.442025826875539984e-02
9.896132644837560292e+03,9.443334840528934404e-02
9.896132667694011616e+03,9.444643944534270030e-02
9.896132690550464758e+03,9.445953139099816376e-02
9.896132713406916082e+03,9.447262424016956983e-02
9.896132736263369225e+03,9.448571799494136225e-02
9.896132759119820548e+03,9.449881265322911117e-02
9.896132781976273691e+03,9.451190821711377699e-02
9.896132804832726833e+03,9.452500468555488644e-02
9.896132827689178157e+03,9.453810205751021767e-02
9.896132850545631300e+03,9.455120033505903798e-02
9.896132873402082623e+03,9.456429951612034535e-02
9.896132896258535766e+03,9.457739960277858349e-02
9.896132919114987089e+03,9.459050059294414614e-02
9.896132941971440232e+03,9.460360248870319788e-02
9.896132964827891556e+03,9.461670528796956026e-02
9.896132987684344698e+03,9.462980899282939784e-02
9.896133010540796022e+03,9.464291360119483909e-02
9.896133033397249164e+03,9.465601911515203470e-02
9.896133056253700488e+03,9.466912553261309926e-02
9.896133079110153631e+03,9.468223285566246261e-02
9.896133101966606773e+03,9.469534108325791677e-02
9.896133124823058097e+03,9.470845021435551903e-02
9.896133147679511239e+03,9.472156025104140620e-02
9.896133170535962563e+03,9.473467119122773450e-02
9.896133193392415706e+03,9.474778303699890603e-02
9.896133216248867029e+03,9.476089578626877008e-02
9.896133239105320172e+03,9.477400944112175651e-02
9.896133261961771495e+03,9.478712399947344935e-02
9.896133284818224638e+03,9.480023946340825070e-02
9.896133307674675962e+03,9.481335583083831675e-02
9.896133330531129104e+03,9.482647310384803574e-02
9.896133353387582247e+03,9.483959128139694827e-02
