Time (BJD_TBD - 2450000), F_g/F_star (ppm)
1.013335416861496742e+04,4.643227093931015759e+01
1.013335418953372573e+04,4.643167170825609702e+01
1.013335421045248404e+04,4.643107247844077534e+01
1.013335423137124235e+04,4.643047324986417834e+01
1.013335425229000066e+04,4.642987402252640550e+01
1.013335427320876079e+04,4.642927479637542376e+01
1.013335429412751910e+04,4.642867557151551949e+01
1.013335431504627741e+04,4.642807634789464544e+01
1.013335433596503572e+04,4.642747712551281580e+01
1.013335435688379403e+04,4.642687790437020112e+01
1.013335437780255234e+04,4.642627868446678008e+01
1.013335439872131064e+04,4.642567946580266636e+01
1.013335441964006895e+04,4.642508024837793812e+01
1.013335444055882908e+04,4.642448103214051969e+01
1.013335446147758739e+04,4.642388181719469742e+01
1.013335448239634570e+04,4.642328260348844537e+01
1.013335450331510401e+04,4.642268339102184882e+01
1.013335452423386232e+04,4.642208417979497170e+01
1.013335454515262063e+04,4.642148496980779981e+01
1.013335456607137894e+04,4.642088576106052500e+01
1.013335458699013725e+04,4.642028655355313305e+01
1.013335460790889738e+04,4.641968734723361933e+01
1.013335462882765569e+04,4.641908814220624180e+01
1.013335464974641400e+04,4.641848893841901003e+01
1.013335467066517231e+04,4.641788973587191691e+01
1.013335469158393062e+04,4.641729053456507614e+01
1.013335471250268893e+04,4.641669133449858720e+01
1.013335473342144724e+04,4.641609213567246428e+01
1.013335475434020555e+04,4.641549293808675003e+01
1.013335477525896567e+04,4.641489374168948245e+01
1.013335479617772398e+04,4.641429454658491949e+01
1.013335481709648229e+04,4.641369535272098545e+01
1.013335483801524060e+04,4.641309616009777272e+01
1.013335485893399891e+04,4.641249696871537367e+01
1.013335487985275722e+04,4.641189777857380960e+01
1.013335490077151553e+04,4.641129858967315869e+01
1.013335492169027384e+04,4.641069940201353461e+01
1.013335494260903397e+04,4.641010021554285458e+01
1.013335496352779228e+04,4.640950103036539787e+01
1.013335498444655059e+04,4.640890184642913141e+01
1.013335500536530890e+04,4.640830266373416180e+01
1.013335502628406721e+04,4.640770348228048903e+01
1.013335504720282552e+04,4.640710430206821968e+01
1.013335506812158383e+04,4.640650512309744613e+01
1.013335508904034396e+04,4.640590594531608559e+01
1.013335510995910226e+04,4.640530676882842442e+01
1.013335513087786057e+04,4.640470759358243669e+01
1.013335515179661888e+04,4.640410841957820764e+01
1.013335517271537719e+04,4.640350924681576572e+01
1.013335519363413550e+04,4.640291007529518907e+01
1.013335521455289381e+04,4.640231090501658429e+01
1.013335523547165212e+04,4.640171173597996557e+01
1.013335525639041225e+04,4.640111256813333540e+01
1.013335527730917056e+04,4.640051340158093751e+01
1.013335529822792887e+04,4.639991423627078149e+01
1.013335531914668718e+04,4.639931507220288154e+01
1.013335534006544549e+04,4.639871590937733714e+01
1.013335536098420380e+04,4.639811674779421935e+01
1.013335538190296211e+04,4.639751758745354948e+01
1.013335540282172042e+04,4.639691842835547675e+01
1.013335542374048055e+04,4.639631927044790416e+01
1.013335544465923886e+04,4.639572011383514649e+01
1.013335546557799717e+04,4.639512095846511386e+01
1.013335548649675547e+04,4.639452180433791284e+01
1.013335550741551378e+04,4.639392265145362160e+01
1.013335552833427209e+04,4.639332349981226855e+01
1.013335554925303040e+04,4.639272434941393897e+01
1.013335557017178871e+04,4.639212520025873232e+01
1.013335559109054884e+04,4.639152605229457293e+01
1.013335561200930715e+04,4.639092690562571164e+01
1.013335563292806546e+04,4.639032776020019355e+01
1.013335565384682377e+04,4.638972861601803999e+01
1.013335567476558208e+04,4.638912947307930779e+01
1.013335569568434039e+04,4.638853033138406801e+01
1.013335571660309870e+04,4.638793119093242723e+01
1.013335573752185701e+04,4.638733205172439966e+01
1.013335575844061714e+04,4.638673291370798779e+01
1.013335577935937545e+04,4.638613377698744245e+01
1.013335580027813376e+04,4.638553464151075900e+01
1.013335582119689207e+04,4.638493550727793746e+01
1.013335584211565038e+04,4.638433637428914125e+01
1.013335586303440869e+04,4.638373724254439168e+01
1.013335588395316699e+04,4.638313811204372428e+01
1.013335590487192530e+04,4.638253898278723852e+01
1.013335592579068543e+04,4.638193985472292269e+01
1.013335594670944374e+04,4.638134072795502760e+01
1.013335596762820205e+04,4.638074160243146338e+01
1.013335598854696036e+04,4.638014247815240765e+01
1.013335600946571867e+04,4.637954335511786752e+01
1.013335603038447698e+04,4.637894423332787142e+01
1.013335605130323529e+04,4.637834511278257565e+01
1.013335607222199542e+04,4.637774599342988324e+01
1.013335609314075373e+04,4.637714687537410896e+01
1.013335611405951204e+04,4.637654775856315581e+01
1.013335613497827035e+04,4.637594864299713038e+01
1.013335615589702866e+04,4.637534952867613214e+01
1.013335617681578697e+04,4.637475041560014688e+01
1.013335619773454528e+04,4.637415130376933092e+01
1.013335621865330359e+04,4.637355219318369848e+01
1.013335623957206371e+04,4.637295308379123782e+01
1.013335626049082202e+04,4.637235397569619977e+01
1.013335628140958033e+04,4.637175486884659392e+01
1.013335630232833864e+04,4.637115576324244159e+01
1.013335632324709695e+04,4.637055665888381384e+01
1.013335634416585526e+04,4.636995755577078882e+01
1.013335636508461357e+04,4.636935845390346600e+01
1.013335638600337188e+04,4.636875935328182408e+01
1.013335640692213201e+04,4.636816025385392948e+01
1.013335642784089032e+04,4.636756115572403303e+01
1.013335644875964863e+04,4.636696205884004485e+01
1.013335646967840694e+04,4.636636296320207151e+01
1.013335649059716525e+04,4.636576386881019829e+01
1.013335651151592356e+04,4.636516477566448202e+01
1.013335653243468187e+04,4.636456568376492271e+01
1.013335655335344018e+04,4.636396659311169799e+01
1.013335657427220031e+04,4.636336750365271797e+01
1.013335659519095861e+04,4.636276841549226191e+01
1.013335661610971692e+04,4.636216932857824702e+01
1.013335663702847523e+04,4.636157024291082962e+01
1.013335665794723354e+04,4.636097115849001682e+01
1.013335667886599185e+04,4.636037207531588678e+01
1.013335669978475016e+04,4.635977299338853896e+01
1.013335672070350847e+04,4.635917391270799470e+01
1.013335674162226860e+04,4.635857483322228489e+01
1.013335676254102691e+04,4.635797575503556800e+01
1.013335678345978522e+04,4.635737667809593887e+01
1.013335680437854353e+04,4.635677760240337619e+01
1.013335682529730184e+04,4.635617852795797234e+01
1.013335684621606015e+04,4.635557945475983388e+01
1.013335686713481846e+04,4.635498038280896083e+01
1.013335688805357859e+04,4.635438131205337697e+01
1.013335690897233690e+04,4.635378224259731184e+01
1.013335692989109521e+04,4.635318317438878211e+01
1.013335695080985352e+04,4.635258410742779489e+01
1.013335697172861182e+04,4.635198504171444966e+01
1.013335699264737013e+04,4.635138597724882459e+01
1.013335701356612844e+04,4.635078691403096229e+01
1.013335703448488675e+04,4.635018785206093384e+01
1.013335705540364688e+04,4.634958879128673459e+01
1.013335707632240519e+04,4.634898973181262960e+01
1.013335709724116350e+04,4.634839067358653608e+01
1.013335711815992181e+04,4.634779161660856062e+01
1.013335713907868012e+04,4.634719256087879558e+01
1.013335715999743843e+04,4.634659350639724806e+01
1.013335718091619674e+04,4.634599445316402466e+01
1.013335720183495505e+04,4.634539540117921064e+01
1.013335722275371518e+04,4.634479635039073031e+01
1.013335724367247349e+04,4.634419730090286293e+01
1.013335726459123180e+04,4.634359825266358257e+01
1.013335728550999011e+04,4.634299920567298869e+01
1.013335730642874842e+04,4.634240015993108841e+01
1.013335732734750673e+04,4.634180111543798120e+01
1.013335734826626503e+04,4.634120207219375942e+01
1.013335736918502334e+04,4.634060303019844440e+01
1.013335739010378347e+04,4.634000398940003862e+01
1.013335741102254178e+04,4.633940494990277870e+01
1.013335743194130009e+04,4.633880591165467422e+01
1.013335745286005840e+04,4.633820687465573940e+01
1.013335747377881671e+04,4.633760783890607371e+01
1.013335749469757502e+04,4.633700880440577663e+01
1.013335751561633333e+04,4.633640977115484816e+01
1.013335753653509164e+04,4.633581073915339488e+01
1.013335755745385177e+04,4.633521170834938374e+01
1.013335757837261008e+04,4.633461267884710111e+01
1.013335759929136839e+04,4.633401365059446420e+01
1.013335762021012670e+04,4.633341462359155827e+01
1.013335764112888501e+04,4.633281559783850412e+01
1.013335766204764332e+04,4.633221657333529464e+01
1.013335768296640163e+04,4.633161755008202221e+01
1.013335770388516175e+04,4.633101852802668930e+01
1.013335772480392006e+04,4.633041950727353964e+01
1.013335774572267837e+04,4.632982048777051887e+01
1.013335776664143668e+04,4.632922146951770515e+01
1.013335778756019499e+04,4.632862245251520505e+01
1.013335780847895330e+04,4.632802343676300438e+01
1.013335782939771161e+04,4.632742442226127366e+01
1.013335785031646992e+04,4.632682540901003421e+01
1.013335787123523005e+04,4.632622639695724587e+01
1.013335789215398836e+04,4.632562738620715237e+01
1.013335791307274667e+04,4.632502837670775619e+01
1.013335793399150498e+04,4.632442936845914261e+01
1.013335795491026329e+04,4.632383036146133293e+01
1.013335797582902160e+04,4.632323135571441242e+01
1.013335799674777991e+04,4.632263235121848055e+01
1.013335801766653822e+04,4.632203334797352312e+01
1.013335803858529835e+04,4.632143434592762077e+01
1.013335805950405665e+04,4.632083534518497459e+01
1.013335808042281496e+04,4.632023634569357284e+01
1.013335810134157327e+04,4.631963734745344397e+01
1.013335812226033158e+04,4.631903835046468032e+01
1.013335814317908989e+04,4.631843935472738139e+01
1.013335816409784820e+04,4.631784036024156137e+01
1.013335818501660651e+04,4.631724136700731265e+01
1.013335820593536664e+04,4.631664237497262349e+01
1.013335822685412495e+04,4.631604338424175182e+01
1.013335824777288326e+04,4.631544439476260067e+01
1.013335826869164157e+04,4.631484540653534765e+01
1.013335828961039988e+04,4.631424641955997856e+01
1.013335831052915819e+04,4.631364743383661420e+01
1.013335833144791650e+04,4.631304844936526166e+01
1.013335835236667481e+04,4.631244946614605595e+01
1.013335837328543494e+04,4.631185048412693561e+01
1.013335839420419325e+04,4.631125150341211594e+01
1.013335841512295156e+04,4.631065252394966336e+01
1.013335843604170987e+04,4.631005354573959210e+01
1.013335845696046817e+04,4.630945456878193056e+01
1.013335847787922648e+04,4.630885559307683508e+01
1.013335849879798479e+04,4.630825661862431275e+01
1.013335851971674492e+04,4.630765764537236606e+01
1.013335854063550323e+04,4.630705867342523874e+01
1.013335856155426154e+04,4.630645970273089063e+01
1.013335858247301985e+04,4.630586073328942120e+01
1.013335860339177816e+04,4.630526176510083047e+01
1.013335862431053647e+04,4.630466279816528896e+01
1.013335864522929478e+04,4.630406383248278246e+01
1.013335866614805309e+04,4.630346486805341044e+01
1.013335868706681322e+04,4.630286590482516118e+01
1.013335870798557153e+04,4.630226694290227840e+01
1.013335872890432984e+04,4.630166798223270774e+01
1.013335874982308815e+04,4.630106902281657000e+01
1.013335877074184646e+04,4.630047006465387938e+01
1.013335879166060477e+04,4.629987110774473535e+01
1.013335881257936308e+04,4.629927215208916635e+01
1.013335883349812138e+04,4.629867319768731448e+01
