Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
9.882465094304538070e+03,4.156197802547333708e+02
9.882465112320227490e+03,4.156245646350440097e+02
9.882465130335918730e+03,4.156293489747027365e+02
9.882465148351608150e+03,4.156341332727409963e+02
9.882465166367299389e+03,4.156389175301224554e+02
9.882465184382990628e+03,4.156437017463615575e+02
9.882465202398680049e+03,4.156484859209724618e+02
9.882465220414371288e+03,4.156532700549190622e+02
9.882465238430060708e+03,4.156580541472326900e+02
9.882465256445751947e+03,4.156628381988769547e+02
9.882465274461441368e+03,4.156676222088831878e+02
9.882465292477132607e+03,4.156724061782150557e+02
9.882465310492823846e+03,4.156771901063868313e+02
9.882465328508513267e+03,4.156819739929133561e+02
9.882465346524204506e+03,4.156867578387577851e+02
9.882465364539893926e+03,4.156915416429516199e+02
9.882465382555585165e+03,4.156963254064586408e+02
9.882465400571274586e+03,4.157011091283101223e+02
9.882465418586965825e+03,4.157058928094695602e+02
9.882465436602657064e+03,4.157106764494516824e+02
9.882465454618346484e+03,4.157154600477706481e+02
9.882465472634037724e+03,4.157202436053901238e+02
9.882465490649727144e+03,4.157250271213417250e+02
9.882465508665418383e+03,4.157298105965886066e+02
9.882465526681107804e+03,4.157345940301626683e+02
9.882465544696799043e+03,4.157393774230271219e+02
9.882465562712490282e+03,4.157441607746965815e+02
9.882465580728179702e+03,4.157489440846856041e+02
9.882465598743870942e+03,4.157537273539574585e+02
9.882465616759560362e+03,4.157585105815438737e+02
9.882465634775251601e+03,4.157632937684081753e+02
9.882465652790941022e+03,4.157680769135819787e+02
9.882465670806632261e+03,4.157728600180287799e+02
9.882465688822323500e+03,4.157776430812629656e+02
9.882465706838012920e+03,4.157824261027992065e+02
9.882465724853704160e+03,4.157872090836007146e+02
9.882465742869393580e+03,4.157919920226992190e+02
9.882465760885084819e+03,4.157967749210582156e+02
9.882465778900774239e+03,4.158015577777091494e+02
9.882465796916465479e+03,4.158063405936153458e+02
9.882465814932156718e+03,4.158111233682915895e+02
9.882465832947846138e+03,4.158159061012523807e+02
9.882465850963537378e+03,4.158206887934609313e+02
9.882465868979226798e+03,4.158254714439489703e+02
9.882465886994918037e+03,4.158302540536798801e+02
9.882465905010607457e+03,4.158350366216852194e+02
9.882465923026298697e+03,4.158398191489283704e+02
9.882465941041989936e+03,4.158446016349239471e+02
9.882465959057679356e+03,4.158493840791865637e+02
9.882465977073370595e+03,4.158541664826793181e+02
9.882465995089060016e+03,4.158589488444342237e+02
9.882466013104751255e+03,4.158637311654143787e+02
9.882466031120440675e+03,4.158685134446514553e+02
9.882466049136131915e+03,4.158732956831088359e+02
9.882466067151823154e+03,4.158780778803010776e+02
9.882466085167512574e+03,4.158828600357427945e+02
9.882466103183203813e+03,4.158876421503972551e+02
9.882466121198893234e+03,4.158924242232963593e+02
9.882466139214584473e+03,4.158972062554029776e+02
9.882466157230273893e+03,4.159019882457492372e+02
9.882466175245965132e+03,4.159067701952981793e+02
9.882466193261656372e+03,4.159115521035644178e+02
9.882466211277345792e+03,4.159163339700626238e+02
9.882466229293037031e+03,4.159211157957561227e+02
9.882466247308726452e+03,4.159258975796765299e+02
9.882466265324417691e+03,4.159306793227872276e+02
9.882466283340107111e+03,4.159354610241198884e+02
9.882466301355798350e+03,4.159402426846376102e+02
9.882466319371489590e+03,4.159450243038552344e+02
9.882466337387179010e+03,4.159498058812873182e+02
9.882466355402870249e+03,4.159545874178970735e+02
9.882466373418559670e+03,4.159593689127163998e+02
9.882466391434250909e+03,4.159641503667082816e+02
9.882466409449940329e+03,4.159689317789046186e+02
9.882466427465631568e+03,4.159737131502686793e+02
9.882466445481322808e+03,4.159784944803150211e+02
9.882466463497012228e+03,4.159832757685583147e+02
9.882466481512703467e+03,4.159880570159616582e+02
9.882466499528392887e+03,4.159928382215572356e+02
9.882466517544084127e+03,4.159976193863076901e+02
9.882466535559773547e+03,4.160024005092452626e+02
9.882466553575464786e+03,4.160071815913328805e+02
9.882466571591156026e+03,4.160119626320853286e+02
9.882466589606845446e+03,4.160167436310171638e+02
9.882466607622536685e+03,4.160215245890916549e+02
9.882466625638226105e+03,4.160263055053406447e+02
9.882466643653917345e+03,4.160310863807271744e+02
9.882466661669606765e+03,4.160358672142832006e+02
9.882466679685298004e+03,4.160406480069717645e+02
9.882466697700989243e+03,4.160454287583077075e+02
9.882466715716678664e+03,4.160502094678055300e+02
9.882466733732369903e+03,4.160549901364283301e+02
9.882466751748059323e+03,4.160597707632082916e+02
9.882466769763750563e+03,4.160645513491081715e+02
9.882466787779439983e+03,4.160693318931600970e+02
9.882466805795131222e+03,4.160741123963269956e+02
9.882466823810822461e+03,4.160788928581237656e+02
9.882466841826511882e+03,4.160836732780649072e+02
9.882466859842203121e+03,4.160884536571135754e+02
9.882466877857892541e+03,4.160932339943018405e+02
9.882466895873583780e+03,4.160980142905924595e+02
9.882466913889273201e+03,4.161027945450177299e+02
9.882466931904964440e+03,4.161075747585404088e+02
9.882466949920655679e+03,4.161123549306751102e+02
9.882466967936345100e+03,4.161171350609371302e+02
9.882466985952036339e+03,4.161219151502889417e+02
9.882467003967725759e+03,4.161266951977630129e+02
9.882467021983416998e+03,4.161314752043217595e+02
9.882467039999106419e+03,4.161362551689976499e+02
9.882467058014797658e+03,4.161410350927533841e+02
9.882467076030487078e+03,4.161458149746213167e+02
9.882467094046178318e+03,4.161505948155640340e+02
9.882467112061869557e+03,4.161553746150964344e+02
9.882467130077558977e+03,4.161601543727334729e+02
9.882467148093250216e+03,4.161649340894379066e+02
9.882467166108939637e+03,4.161697137642418056e+02
9.882467184124630876e+03,4.161744933981082113e+02
9.882467202140320296e+03,4.161792729900690233e+02
9.882467220156011535e+03,4.161840525410873397e+02
9.882467238171702775e+03,4.161888320506777177e+02
9.882467256187392195e+03,4.161936115183553397e+02
9.882467274203083434e+03,4.161983909450827355e+02
9.882467292218772855e+03,4.162031703298921457e+02
9.882467310234464094e+03,4.162079496737464410e+02
9.882467328250153514e+03,4.162127289756778623e+02
9.882467346265844753e+03,4.162175082366489960e+02
9.882467364281535993e+03,4.162222874561748540e+02
9.882467382297225413e+03,4.162270666337703915e+02
9.882467400312916652e+03,4.162318457703981949e+02
9.882467418328606072e+03,4.162366248650906755e+02
9.882467436344297312e+03,4.162414039188102493e+02
9.882467454359986732e+03,4.162461829305894980e+02
9.882467472375677971e+03,4.162509619013910651e+02
9.882467490391369211e+03,4.162557408307297919e+02
9.882467508407058631e+03,4.162605197181208041e+02
9.882467526422749870e+03,4.162652985645263470e+02
9.882467544438439290e+03,4.162700773689791731e+02
9.882467562454130530e+03,4.162748561324416414e+02
9.882467580469819950e+03,4.162796348539463338e+02
9.882467598485511189e+03,4.162844135344556662e+02
9.882467616501202428e+03,4.162891921734847074e+02
9.882467634516891849e+03,4.162939707705484693e+02
9.882467652532583088e+03,4.162987493266093111e+02
9.882467670548272508e+03,4.163035278406999282e+02
9.882467688563963748e+03,4.163083063137827367e+02
9.882467706579653168e+03,4.163130847448901477e+02
9.882467724595344407e+03,4.163178631349848047e+02
9.882467742611035646e+03,4.163226414835816058e+02
9.882467760626725067e+03,4.163274197901955063e+02
9.882467778642416306e+03,4.163321980557892061e+02
9.882467796658105726e+03,4.163369762793950599e+02
9.882467814673796966e+03,4.163417544619755972e+02
9.882467832689486386e+03,4.163465326025633431e+02
9.882467850705177625e+03,4.163513107021206565e+02
9.882467868720868864e+03,4.163560887601626632e+02
9.882467886736558285e+03,4.163608667762043751e+02
9.882467904752249524e+03,4.163656447512082082e+02
9.882467922767938944e+03,4.163704226842068579e+02
9.882467940783630183e+03,4.163752005761625696e+02
9.882467958799319604e+03,4.163799784261080390e+02
9.882467976815010843e+03,4.163847562350055114e+02
9.882467994830702082e+03,4.163895340023702829e+02
9.882468012846391503e+03,4.163943117277171950e+02
9.882468030862082742e+03,4.163990894120087205e+02
9.882468048877772162e+03,4.164038670542776117e+02
9.882468066893463401e+03,4.164086446554859435e+02
9.882468084909152822e+03,4.164134222146666389e+02
9.882468102924844061e+03,4.164181997327818294e+02
9.882468120940535300e+03,4.164229772093466977e+02
9.882468138956224720e+03,4.164277546438763693e+02
9.882468156971915960e+03,4.164325320373330896e+02
9.882468174987605380e+03,4.164373093887495543e+02
9.882468193003296619e+03,4.164420866990881223e+02
9.882468211018986040e+03,4.164468639673814891e+02
9.882468229034677279e+03,4.164516411945918435e+02
9.882468247050368518e+03,4.164564183802343678e+02
9.882468265066057938e+03,4.164611955238241876e+02
9.882468283081749178e+03,4.164659726263236053e+02
9.882468301097438598e+03,4.164707496867652594e+02
9.882468319113129837e+03,4.164755267061115092e+02
9.882468337128819257e+03,4.164803036833950500e+02
9.882468355144510497e+03,4.164850806195780706e+02
9.882468373160201736e+03,4.164898575141758101e+02
9.882468391175891156e+03,4.164946343667033375e+02
9.882468409191582396e+03,4.164994111781227843e+02
9.882468427207271816e+03,4.165041879474673010e+02
9.882468445222963055e+03,4.165089646756986212e+02
9.882468463238652475e+03,4.165137413618498385e+02
9.882468481254343715e+03,4.165185180068829709e+02
9.882468499270034954e+03,4.165232946103133145e+02
9.882468517285724374e+03,4.165280711716561655e+02
9.882468535301415614e+03,4.165328476918733145e+02
9.882468553317105034e+03,4.165376241699979687e+02
9.882468571332796273e+03,4.165424006069920324e+02
9.882468589348485693e+03,4.165471770018884285e+02
9.882468607364176933e+03,4.165519533556492888e+02
9.882468625379868172e+03,4.165567296677899094e+02
9.882468643395557592e+03,4.165615059378253591e+02
9.882468661411248831e+03,4.165662821667177127e+02
9.882468679426938252e+03,4.165710583535001206e+02
