Time (BJD_TBD - 2450000), L_total/L_star (ppm)
1.013184441874642471e+04,1.629436755926321894e+02
1.013184443951817775e+04,1.629431526191775959e+02
1.013184446028993079e+04,1.629426297477147898e+02
1.013184448106168384e+04,1.629421069782452776e+02
1.013184450183343688e+04,1.629415843107704802e+02
1.013184452260518992e+04,1.629410617452919325e+02
1.013184454337694297e+04,1.629405392818110840e+02
1.013184456414869601e+04,1.629400169203293558e+02
1.013184458492044905e+04,1.629394946608483110e+02
1.013184460569220209e+04,1.629389725033693708e+02
1.013184462646395514e+04,1.629384504478940414e+02
1.013184464723570818e+04,1.629379284944237725e+02
1.013184466800746122e+04,1.629374066429600418e+02
1.013184468877921427e+04,1.629368848935043275e+02
1.013184470955096731e+04,1.629363632460581357e+02
1.013184473032272035e+04,1.629358417006228592e+02
1.013184475109447339e+04,1.629353202572000612e+02
1.013184477186622644e+04,1.629347989157911911e+02
1.013184479263797948e+04,1.629342776763976985e+02
1.013184481340973252e+04,1.629337565390210614e+02
1.013184483418148557e+04,1.629332355036627575e+02
1.013184485495323861e+04,1.629327145703242650e+02
1.013184487572499165e+04,1.629321937390070616e+02
1.013184489649674470e+04,1.629316730097126538e+02
1.013184491726849774e+04,1.629311523824424057e+02
1.013184493804025078e+04,1.629306318571978807e+02
1.013184495881200382e+04,1.629301114339805849e+02
1.013184497958375687e+04,1.629295911127919112e+02
1.013184500035550991e+04,1.629290708936333374e+02
1.013184502112726295e+04,1.629285507765063983e+02
1.013184504189901600e+04,1.629280307614124581e+02
1.013184506267077086e+04,1.629275108483076338e+02
1.013184508344252390e+04,1.629269910372843242e+02
1.013184510421427694e+04,1.629264713282985042e+02
1.013184512498602999e+04,1.629259517213515949e+02
1.013184514575778303e+04,1.629254322164451878e+02
1.013184516652953607e+04,1.629249128135806473e+02
1.013184518730128912e+04,1.629243935127595364e+02
1.013184520807304216e+04,1.629238743139832195e+02
1.013184522884479520e+04,1.629233552172532029e+02
1.013184524961654824e+04,1.629228362225710214e+02
1.013184527038830129e+04,1.629223173299380960e+02
1.013184529116005433e+04,1.629217985393559331e+02
1.013184531193180737e+04,1.629212798508259823e+02
1.013184533270356042e+04,1.629207612643496645e+02
1.013184535347531346e+04,1.629202427799285147e+02
1.013184537424706650e+04,1.629197243975639822e+02
