Time (BJD_TBD - 2450000), F_f/F_star (ppm)
1.061386606678027783e+04,1.280099735904487090e+02
1.061386608273557613e+04,1.280095269168334369e+02
1.061386609869087624e+04,1.280090802363575335e+02
1.061386611464617454e+04,1.280086335491229761e+02
1.061386613060147465e+04,1.280081868550279296e+02
1.061386614655677295e+04,1.280077401541742290e+02
1.061386616251207306e+04,1.280072934464601815e+02
1.061386617846737136e+04,1.280068467319876788e+02
1.061386619442267147e+04,1.280064000106548860e+02
1.061386621037796976e+04,1.280059532825636950e+02
1.061386622633326988e+04,1.280055065476123559e+02
1.061386624228856817e+04,1.280050598059027323e+02
1.061386625824386829e+04,1.280046130573330458e+02
1.061386627419916658e+04,1.280041663020052454e+02
1.061386629015446670e+04,1.280037195398174106e+02
1.061386630610976681e+04,1.280032727708205869e+02
1.061386632206506511e+04,1.280028259950657912e+02
1.061386633802036522e+04,1.280023792124511886e+02
1.061386635397566351e+04,1.280019324230787561e+02
1.061386636993096363e+04,1.280014856268465451e+02
1.061386638588626192e+04,1.280010388238565326e+02
1.061386640184156204e+04,1.280005920140069406e+02
1.061386641779686033e+04,1.280001451973997177e+02
1.061386643375216045e+04,1.279996983739329863e+02
1.061386644970745874e+04,1.279992515437086382e+02
1.061386646566275886e+04,1.279988047066249379e+02
1.061386648161805715e+04,1.279983578627837488e+02
1.061386649757335726e+04,1.279979110120833212e+02
1.061386651352865556e+04,1.279974641546255185e+02
1.061386652948395567e+04,1.279970172903085341e+02
1.061386654543925397e+04,1.279965704192342884e+02
1.061386656139455408e+04,1.279961235413009462e+02
1.061386657734985238e+04,1.279956766566105131e+02
1.061386659330515249e+04,1.279952297650610973e+02
1.061386660926045079e+04,1.279947828667546190e+02
1.061386662521575090e+04,1.279943359615892859e+02
1.061386664117104920e+04,1.279938890496670325e+02
1.061386665712634931e+04,1.279934421308860379e+02
1.061386667308164760e+04,1.279929952053482225e+02
1.061386668903694772e+04,1.279925482729517086e+02
1.061386670499224601e+04,1.279921013337984874e+02
1.061386672094754613e+04,1.279916543877867525e+02
1.061386673690284442e+04,1.279912074350184241e+02
1.061386675285814454e+04,1.279907604753916246e+02
1.061386676881344283e+04,1.279903135090083026e+02
1.061386678476874295e+04,1.279898665357666800e+02
1.061386680072404306e+04,1.279894195557176744e+02
1.061386681667934135e+04,1.279889725689123736e+02
1.061386683263464147e+04,1.279885255752488575e+02
1.061386684858993976e+04,1.279880785748291174e+02
1.061386686454523988e+04,1.279876315675513183e+02
1.061386688050053817e+04,1.279871845535173804e+02
1.061386689645583829e+04,1.279867375326254546e+02
1.061386691241113658e+04,1.279862905049775463e+02
1.061386692836643670e+04,1.279858434704717212e+02
1.061386694432173499e+04,1.279853964292100130e+02
1.061386696027703510e+04,1.279849493810905443e+02
1.061386697623233340e+04,1.279845023262153063e+02
1.061386699218763351e+04,1.279840552644823646e+02
1.061386700814293181e+04,1.279836081959937246e+02
1.061386702409823192e+04,1.279831611206475657e+02
1.061386704005353022e+04,1.279827140385457653e+02
1.061386705600883033e+04,1.279822669495865597e+02
1.061386707196412863e+04,1.279818198538718832e+02
1.061386708791942874e+04,1.279813727512998440e+02
1.061386710387472704e+04,1.279809256419724193e+02
1.061386711983002715e+04,1.279804785257877455e+02
1.061386713578532544e+04,1.279800314028478283e+02
1.061386715174062556e+04,1.279795842730507758e+02
1.061386716769592385e+04,1.279791371364985366e+02
1.061386718365122397e+04,1.279786899930892758e+02
1.061386719960652226e+04,1.279782428429249990e+02
1.061386721556182238e+04,1.279777956859037715e+02
1.061386723151712067e+04,1.279773485221276275e+02
1.061386724747242079e+04,1.279769013514946181e+02
1.061386726342771908e+04,1.279764541741067774e+02
1.061386727938301919e+04,1.279760069898622419e+02
1.061386729533831931e+04,1.279755597988120002e+02
1.061386731129361760e+04,1.279751126010071260e+02
1.061386732724891772e+04,1.279746653963456424e+02
1.061386734320421601e+04,1.279742181849295832e+02
1.061386735915951613e+04,1.279737709666570566e+02
1.061386737511481442e+04,1.279733237416301108e+02
1.061386739107011454e+04,1.279728765097468113e+02
1.061386740702541283e+04,1.279724292711091351e+02
1.061386742298071294e+04,1.279719820256152047e+02
1.061386743893601124e+04,1.279715347733670825e+02
1.061386745489131135e+04,1.279710875142627771e+02
1.061386747084660965e+04,1.279706402484043934e+02
1.061386748680190976e+04,1.279701929756898835e+02
1.061386750275720806e+04,1.279697456962213664e+02
1.061386751871250817e+04,1.279692984098969504e+02
1.061386753466780647e+04,1.279688511168186267e+02
1.061386755062310658e+04,1.279684038168844324e+02
1.061386756657840488e+04,1.279679565101964158e+02
1.061386758253370499e+04,1.279675091966526992e+02
1.061386759848900329e+04,1.279670618763552739e+02
1.061386761444430340e+04,1.279666145492022338e+02
1.061386763039960169e+04,1.279661672152956129e+02
1.061386764635490181e+04,1.279657198745334199e+02
1.061386766231020010e+04,1.279652725270177598e+02
1.061386767826550022e+04,1.279648251726466981e+02
1.061386769422079851e+04,1.279643778115222830e+02
1.061386771017609863e+04,1.279639304435425373e+02
