Time (BJD_TBD - 2450000), L_f/L_star (ppm)
1.014093855324061587e+04,3.274890601738008655e+01
1.014093857208740883e+04,3.274937896814368798e+01
1.014093859093419996e+04,3.274985191956769626e+01
1.014093860978099292e+04,3.275032487174335216e+01
1.014093862862778406e+04,3.275079782457925859e+01
1.014093864747457701e+04,3.275127077816664212e+01
1.014093866632136815e+04,3.275174373241413406e+01
1.014093868516816110e+04,3.275221668741293968e+01
1.014093870401495224e+04,3.275268964307170450e+01
1.014093872286174519e+04,3.275316259948162667e+01
1.014093874170853633e+04,3.275363555655133041e+01
1.014093876055532928e+04,3.275410851437205650e+01
1.014093877940212042e+04,3.275458147285240074e+01
1.014093879824891337e+04,3.275505443208361100e+01
1.014093881709570451e+04,3.275552739197428309e+01
1.014093883594249746e+04,3.275600035261566489e+01
1.014093885478928860e+04,3.275647331391635930e+01
1.014093887363608155e+04,3.275694627596760000e+01
1.014093889248287269e+04,3.275741923867799699e+01
1.014093891132966564e+04,3.275789220213877684e+01
1.014093893017645678e+04,3.275836516625856376e+01
1.014093894902324973e+04,3.275883813112857723e+01
1.014093896787004269e+04,3.275931109670309382e+01
1.014093898671683382e+04,3.275978406293636880e+01
1.014093900556362678e+04,3.276025702991965005e+01
1.014093902441041791e+04,3.276072999756154047e+01
1.014093904325721087e+04,3.276120296595326664e+01
1.014093906210400201e+04,3.276167593500345987e+01
1.014093908095079496e+04,3.276214890480331832e+01
1.014093909979758610e+04,3.276262187526148040e+01
1.014093911864437905e+04,3.276309484646917980e+01
1.014093913749117019e+04,3.276356781833501230e+01
1.014093915633796314e+04,3.276404079095021160e+01
1.014093917518475428e+04,3.276451376422340189e+01
1.014093919403154723e+04,3.276498673824580266e+01
1.014093921287833837e+04,3.276545971292603099e+01
1.014093923172513132e+04,3.276593268835531347e+01
1.014093925057192246e+04,3.276640566444227431e+01
1.014093926941871541e+04,3.276687864127813299e+01
1.014093928826550655e+04,3.276735161877152080e+01
1.014093930711229950e+04,3.276782459701362882e+01
1.014093932595909064e+04,3.276829757591310255e+01
1.014093934480588359e+04,3.276877055556117568e+01
1.014093936365267473e+04,3.276924353586644401e+01
1.014093938249946768e+04,3.276971651692014831e+01
1.014093940134626064e+04,3.277018949867654385e+01
1.014093942019305177e+04,3.277066248108990010e+01
1.014093943903984473e+04,3.277113546425146495e+01
1.014093945788663586e+04,3.277160844806984130e+01
1.014093947673342882e+04,3.277208143263625573e+01
1.014093949558021995e+04,3.277255441785933243e+01
1.014093951442701291e+04,3.277302740383026958e+01
1.014093953327380405e+04,3.277350039045771979e+01
1.014093955212059700e+04,3.277397337783288833e+01
1.014093957096738814e+04,3.277444636586441362e+01
1.014093958981418109e+04,3.277491935464350803e+01
1.014093960866097223e+04,3.277539234407878155e+01
1.014093962750776518e+04,3.277586533426146786e+01
1.014093964635455632e+04,3.277633832510018408e+01
1.014093966520134927e+04,3.277681131668616388e+01
1.014093968404814041e+04,3.277728430892800304e+01
1.014093970289493336e+04,3.277775730191694947e+01
1.014093972174172450e+04,3.277823029556161316e+01
1.014093974058851745e+04,3.277870328995322780e+01
1.014093975943530859e+04,3.277917628500039626e+01
1.014093977828210154e+04,3.277964928079433804e+01
1.014093979712889450e+04,3.278012227728935102e+01
1.014093981597568563e+04,3.278059527443968335e+01
1.014093983482247859e+04,3.278106827233657583e+01
1.014093985366926972e+04,3.278154127088862424e+01
1.014093987251606268e+04,3.278201427018709069e+01
1.014093989136285381e+04,3.278248727014054253e+01
1.014093991020964677e+04,3.278296027084024900e+01
1.014093992905643790e+04,3.278343327219480585e+01
1.014093994790323086e+04,3.278390627429545390e+01
1.014093996675002199e+04,3.278437927705078891e+01
1.014093998559681495e+04,3.278485228055206591e+01
1.014094000444360609e+04,3.278532528470787355e+01
1.014094002329039904e+04,3.278579828960945264e+01
1.014094004213719018e+04,3.278627129516542027e+01
1.014094006098398313e+04,3.278674430146698882e+01
