Time (BJD_TBD - 2450000), L_e/L_star (ppm)
1.063802817510896057e+04,3.565940321333957996e+01
1.063802819694447680e+04,3.566069501676339115e+01
1.063802821877999486e+04,3.566198683467187891e+01
1.063802824061551109e+04,3.566327866684920167e+01
1.063802826245102733e+04,3.566457051340227480e+01
1.063802828428654539e+04,3.566586237443808471e+01
1.063802830612206162e+04,3.566715424974075432e+01
1.063802832795757786e+04,3.566844613941722741e+01
1.063802834979309591e+04,3.566973804357448330e+01
1.063802837162861215e+04,3.567102996199660936e+01
1.063802839346412838e+04,3.567232189479059201e+01
1.063802841529964644e+04,3.567361384206338215e+01
1.063802843713516268e+04,3.567490580359910979e+01
1.063802845897067891e+04,3.567619777950471871e+01
1.063802848080619697e+04,3.567748976988718823e+01
1.063802850264171320e+04,3.567878177453060573e+01
1.063802852447723126e+04,3.568007379364959064e+01
1.063802854631274749e+04,3.568136582702821613e+01
1.063802856814826373e+04,3.568265787477344730e+01
1.063802858998378179e+04,3.568394993699229900e+01
1.063802861181929802e+04,3.568524201346881597e+01
1.063802863365481426e+04,3.568653410431000594e+01
1.063802865549033231e+04,3.568782620962281982e+01
1.063802867732584855e+04,3.568911832919135918e+01
1.063802869916136478e+04,3.569041046312258914e+01
1.063802872099688284e+04,3.569170261152352452e+01
1.063802874283239908e+04,3.569299477417817457e+01
1.063802876466791531e+04,3.569428695119358252e+01
1.063802878650343337e+04,3.569557914267672061e+01
1.063802880833894960e+04,3.569687134841164067e+01
1.063802883017446766e+04,3.569816356861299056e+01
1.063802885200998389e+04,3.569945580306480082e+01
1.063802887384550013e+04,3.570074805187408629e+01
1.063802889568101818e+04,3.570204031514783338e+01
1.063802891751653442e+04,3.570333259267008685e+01
1.063802893935205066e+04,3.570462488454784733e+01
1.063802896118756871e+04,3.570591719088810834e+01
1.063802898302308495e+04,3.570720951147492883e+01
1.063802900485860118e+04,3.570850184641530234e+01
1.063802902669411924e+04,3.570979419581620817e+01
1.063802904852963547e+04,3.571108655946169108e+01
1.063802907036515171e+04,3.571237893745877301e+01
1.063802909220066977e+04,3.571367132991442617e+01
1.063802911403618600e+04,3.571496373661270241e+01
