Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.065014413106948450e+04,2.023024384734518222e+01
1.065014415235980778e+04,2.022831178464653590e+01
1.065014417365013105e+04,2.022637980317688999e+01
1.065014419494045433e+04,2.022444790293836192e+01
1.065014421623077760e+04,2.022251608393309397e+01
1.065014423752110088e+04,2.022058434616311828e+01
1.065014425881142415e+04,2.021865268963058426e+01
1.065014428010174743e+04,2.021672111433759866e+01
1.065014430139207252e+04,2.021478962012124114e+01
1.065014432268239580e+04,2.021285820731367977e+01
1.065014434397271907e+04,2.021092687575200486e+01
1.065014436526304235e+04,2.020899562543828054e+01
1.065014438655336562e+04,2.020706445637463844e+01
1.065014440784368890e+04,2.020513336856318531e+01
1.065014442913401217e+04,2.020320236200602793e+01
1.065014445042433545e+04,2.020127143670530501e+01
1.065014447171465872e+04,2.019934059266306647e+01
1.065014449300498381e+04,2.019740982971648791e+01
1.065014451429530709e+04,2.019547914819759171e+01
1.065014453558563036e+04,2.019354854794353571e+01
1.065014455687595364e+04,2.019161802895640534e+01
1.065014457816627691e+04,2.018968759123835000e+01
1.065014459945660019e+04,2.018775723479142314e+01
1.065014462074692347e+04,2.018582695961774220e+01
1.065014464203724674e+04,2.018389676571942815e+01
1.065014466332757002e+04,2.018196665309861260e+01
1.065014468461789511e+04,2.018003662159244271e+01
1.065014470590821838e+04,2.017810667153284854e+01
1.065014472719854166e+04,2.017617680275705183e+01
1.065014474848886493e+04,2.017424701526715936e+01
1.065014476977918821e+04,2.017231730906525300e+01
1.065014479106951148e+04,2.017038768415343597e+01
1.065014481235983476e+04,2.016845814053383279e+01
1.065014483365015803e+04,2.016652867820854311e+01
1.065014485494048131e+04,2.016459929717967015e+01
1.065014487623080640e+04,2.016266999728451026e+01
1.065014489752112968e+04,2.016074077885478744e+01
1.065014491881145295e+04,2.015881164172780871e+01
1.065014494010177623e+04,2.015688258590567017e+01
1.065014496139209950e+04,2.015495361139046437e+01
1.065014498268242278e+04,2.015302471818433361e+01
1.065014500397274605e+04,2.015109590628933489e+01
1.065014502526306933e+04,2.014916717570758209e+01
1.065014504655339260e+04,2.014723852644119617e+01
1.065014506784371770e+04,2.014530995832753035e+01
1.065014508913404097e+04,2.014338147169819138e+01
1.065014511042436425e+04,2.014145306639052180e+01
1.065014513171468752e+04,2.013952474240663193e+01
1.065014515300501080e+04,2.013759649974864274e+01
1.065014517429533407e+04,2.013566833841862547e+01
1.065014519558565735e+04,2.013374025841868331e+01
1.065014521687598062e+04,2.013181225975094435e+01
1.065014523816630390e+04,2.012988434241749758e+01
1.065014525945662899e+04,2.012795650625577082e+01
1.065014528074695227e+04,2.012602875159723581e+01
1.065014530203727554e+04,2.012410107827930972e+01
1.065014532332759882e+04,2.012217348630409930e+01
1.065014534461792209e+04,2.012024597567369710e+01
1.065014536590824537e+04,2.011831854639020989e+01
1.065014538719856864e+04,2.011639119845576928e+01
1.065014540848889192e+04,2.011446393187242165e+01
1.065014542977921519e+04,2.011253674664230573e+01
1.065014545106954029e+04,2.011060964260286354e+01
1.065014547235986356e+04,2.010868262008554197e+01
1.065014549365018684e+04,2.010675567892771554e+01
1.065014551494051011e+04,2.010482881913154074e+01
1.065014553623083339e+04,2.010290204069909237e+01
1.065014555752115666e+04,2.010097534363250915e+01
1.065014557881147994e+04,2.009904872793385167e+01
1.065014560010180321e+04,2.009712219360522667e+01
1.065014562139212649e+04,2.009519574064875513e+01
1.065014564268245158e+04,2.009326936890195014e+01
1.065014566397277486e+04,2.009134307869611291e+01
1.065014568526309813e+04,2.008941686986870323e+01
1.065014570655342141e+04,2.008749074242184918e+01
1.065014572784374468e+04,2.008556469635764685e+01
1.065014574913406796e+04,2.008363873167819591e+01
1.065014577042439123e+04,2.008171284838561022e+01
1.065014579171471451e+04,2.007978704648201074e+01
1.065014581300503778e+04,2.007786132596944029e+01
1.065014583429536287e+04,2.007593568668552209e+01
1.065014585558568615e+04,2.007401012896138681e+01
1.065014587687600942e+04,2.007208465263461861e+01
1.065014589816633270e+04,2.007015925770733844e+01
1.065014591945665597e+04,2.006823394418159623e+01
1.065014594074697925e+04,2.006630871205952360e+01
1.065014596203730252e+04,2.006438356134322021e+01
1.065014598332762580e+04,2.006245849203481058e+01
1.065014600461794907e+04,2.006053350413634107e+01
1.065014602590827417e+04,2.005860859748548108e+01
1.065014604719859744e+04,2.005668377241325473e+01
1.065014606848892072e+04,2.005475902875730299e+01
1.065014608977924399e+04,2.005283436651973616e+01
1.065014611106956727e+04,2.005090978570261839e+01
1.065014613235989054e+04,2.004898528630807419e+01
1.065014615365021382e+04,2.004706086833819256e+01
1.065014617494053709e+04,2.004513653179507315e+01
1.065014619623086037e+04,2.004321227668085470e+01
1.065014621752118546e+04,2.004128810283318174e+01
1.065014623881150874e+04,2.003936401058298244e+01
1.065014626010183201e+04,2.003743999976795109e+01
1.065014628139215529e+04,2.003551607039016957e+01
1.065014630268247856e+04,2.003359222245176952e+01
1.065014632397280184e+04,2.003166845595485057e+01
1.065014634526312511e+04,2.002974477090147332e+01
1.065014636655344839e+04,2.002782116729375872e+01
1.065014638784377166e+04,2.002589764513379933e+01
1.065014640913409676e+04,2.002397420425938890e+01
1.065014643042442003e+04,2.002205084500126020e+01
1.065014645171474331e+04,2.002012756719718212e+01
1.065014647300506658e+04,2.001820437084925786e+01
1.065014649429538986e+04,2.001628125595961194e+01
1.065014651558571313e+04,2.001435822253029428e+01
1.065014653687603641e+04,2.001243527056342586e+01
1.065014655816635968e+04,2.001051240006111342e+01
1.065014657945668296e+04,2.000858961102544242e+01
1.065014660074700805e+04,2.000666690329427055e+01
1.065014662203733133e+04,2.000474427719818493e+01
1.065014664332765460e+04,2.000282173257505036e+01
1.065014666461797788e+04,2.000089926942694873e+01
1.065014668590830115e+04,1.999897688775597970e+01
1.065014670719862443e+04,1.999705458756423582e+01
1.065014672848894770e+04,1.999513236885386647e+01
1.065014674977927098e+04,1.999321023162688249e+01
1.065014677106959425e+04,1.999128817588542262e+01
1.065014679235991935e+04,1.998936620146738363e+01
1.065014681365024262e+04,1.998744430870330646e+01
1.065014683494056590e+04,1.998552249743101683e+01
1.065014685623088917e+04,1.998360076765263571e+01
1.065014687752121245e+04,1.998167911937025565e+01
1.065014689881153572e+04,1.997975755258602604e+01
1.065014692010185900e+04,1.997783606730195771e+01
1.065014694139218227e+04,1.997591466352020007e+01
1.065014696268250555e+04,1.997399334124283143e+01
1.065014698397283064e+04,1.997207210030781255e+01
1.065014700526315391e+04,1.997015094104554933e+01
1.065014702655347719e+04,1.996822986329395277e+01
1.065014704784380046e+04,1.996630886705513319e+01
1.065014706913412374e+04,1.996438795233119734e+01
1.065014709042444701e+04,1.996246711912422711e+01
1.065014711171477029e+04,1.996054636743632571e+01
1.065014713300509356e+04,1.995862569726961766e+01
1.065014715429541684e+04,1.995670510862613511e+01
1.065014717558574193e+04,1.995478460134392407e+01
1.065014719687606521e+04,1.995286417575326610e+01
1.065014721816638848e+04,1.995094383169213970e+01
1.065014723945671176e+04,1.994902356916268715e+01
1.065014726074703503e+04,1.994710338816694417e+01
1.065014728203735831e+04,1.994518328870703527e+01
1.065014730332768158e+04,1.994326327078503880e+01
1.065014732461800486e+04,1.994134333440310769e+01
1.065014734590832813e+04,1.993942347956325989e+01
1.065014736719865323e+04,1.993750370610360179e+01
1.065014738848897650e+04,1.993558401435426575e+01
1.065014740977929978e+04,1.993366440415336172e+01
1.065014743106962305e+04,1.993174487550292895e+01
1.065014745235994633e+04,1.992982542840509197e+01
1.065014747365026960e+04,1.992790606286192556e+01
1.065014749494059288e+04,1.992598677887554004e+01
1.065014751623091615e+04,1.992406757644803150e+01
1.065014753752123943e+04,1.992214845558150671e+01
1.065014755881156452e+04,1.992022941611406139e+01
1.065014758010188780e+04,1.991831045837573200e+01
1.065014760139221107e+04,1.991639158220466044e+01
1.065014762268253435e+04,1.991447278760291439e+01
1.065014764397285762e+04,1.991255407457263260e+01
1.065014766526318090e+04,1.991063544311585076e+01
1.065014768655350417e+04,1.990871689323468985e+01
1.065014770784382745e+04,1.990679842493124596e+01
1.065014772913415072e+04,1.990488003820764007e+01
1.065014775042447582e+04,1.990296173290201409e+01
1.065014777171479909e+04,1.990104350934427657e+01
1.065014779300512237e+04,1.989912536737262272e+01
1.065014781429544564e+04,1.989720730698915219e+01
1.065014783558576892e+04,1.989528932819599305e+01
1.065014785687609219e+04,1.989337143099515615e+01
1.065014787816641547e+04,1.989145361538878021e+01
1.065014789945673874e+04,1.988953588137895423e+01
1.065014792074706202e+04,1.988761822896777076e+01
1.065014794203738711e+04,1.988570065799351738e+01
1.065014796332771039e+04,1.988378316878590724e+01
1.065014798461803366e+04,1.988186576118321724e+01
1.065014800590835694e+04,1.987994843518753285e+01
1.065014802719868021e+04,1.987803119080095371e+01
1.065014804848900349e+04,1.987611402802557592e+01
1.065014806977932676e+04,1.987419694686350624e+01
1.065014809106965004e+04,1.987227994731679104e+01
1.065014811235997331e+04,1.987036302938754417e+01
1.065014813365029840e+04,1.986844619291408520e+01
1.065014815494062168e+04,1.986652943822605977e+01
1.065014817623094496e+04,1.986461276516181229e+01
1.065014819752126823e+04,1.986269617372336782e+01
1.065014821881159151e+04,1.986077966391284733e+01
1.065014824010191478e+04,1.985886323573237178e+01
1.065014826139223806e+04,1.985694688918398043e+01
1.065014828268256133e+04,1.985503062426979426e+01
1.065014830397288461e+04,1.985311444099189160e+01
1.065014832526320970e+04,1.985119833918867371e+01
1.065014834655353297e+04,1.984928231918965480e+01
1.065014836784385625e+04,1.984736638083318638e+01
1.065014838913417952e+04,1.984545052412136457e+01
1.065014841042450280e+04,1.984353474905628545e+01
1.065014843171482607e+04,1.984161905564004158e+01
1.065014845300514935e+04,1.983970344387471840e+01
1.065014847429547262e+04,1.983778791376244754e+01
1.065014849558579590e+04,1.983587246530524340e+01
1.065014851687612099e+04,1.983395709834159248e+01
1.065014853816644427e+04,1.983204181320088111e+01
1.065014855945676754e+04,1.983012660972153185e+01
1.065014858074709082e+04,1.982821148790567989e+01
1.065014860203741409e+04,1.982629644775536448e+01
1.065014862332773737e+04,1.982438148927267463e+01
1.065014864461806064e+04,1.982246661245972774e+01
1.065014866590838392e+04,1.982055181731861992e+01
1.065014868719870719e+04,1.981863710385140820e+01
1.065014870848903047e+04,1.981672247206018866e+01
1.065014872977935556e+04,1.981480792178347983e+01
1.065014875106967884e+04,1.981289345335056851e+01
1.065014877236000211e+04,1.981097906659988084e+01
1.065014879365032539e+04,1.980906476153355555e+01
1.065014881494064866e+04,1.980715053815367455e+01
1.065014883623097194e+04,1.980523639646232681e+01
1.065014885752129521e+04,1.980332233646160489e+01
1.065014887881161849e+04,1.980140835815361200e+01
1.065014890010194176e+04,1.979949446154039450e+01
1.065014892139226686e+04,1.979758064646054905e+01
1.065014894268259013e+04,1.979566691324319549e+01
1.065014896397291341e+04,1.979375326172691274e+01
1.065014898526323668e+04,1.979183969191380044e+01
1.065014900655355996e+04,1.978992620380589074e+01
1.065014902784388323e+04,1.978801279740531882e+01
1.065014904913420651e+04,1.978609947271415592e+01
1.065014907042452978e+04,1.978418622973451946e+01
1.065014909171485306e+04,1.978227306846844868e+01
1.065014911300517815e+04,1.978035998875460777e+01
1.065014913429550143e+04,1.977844699092197800e+01
1.065014915558582470e+04,1.977653407480923065e+01
1.065014917687614798e+04,1.977462124041839786e+01
1.065014919816647125e+04,1.977270848775158285e+01
1.065014921945679453e+04,1.977079581681088172e+01
1.065014924074711780e+04,1.976888322759837280e+01
1.065014926203744108e+04,1.976697072011615930e+01
1.065014928332776435e+04,1.976505829436631956e+01
1.065014930461808945e+04,1.976314595018757458e+01
1.065014932590841272e+04,1.976123368790874579e+01
1.065014934719873600e+04,1.975932150736854354e+01
1.065014936848905927e+04,1.975740940856906391e+01
1.065014938977938255e+04,1.975549739151240658e+01
1.065014941106970582e+04,1.975358545620062500e+01
1.065014943236002910e+04,1.975167360263581884e+01
1.065014945365035237e+04,1.974976183082006997e+01
1.065014947494067565e+04,1.974785014075550293e+01
1.065014949623100074e+04,1.974593853228078899e+01
1.065014951752132401e+04,1.974402700572478508e+01
1.065014953881164729e+04,1.974211556092615183e+01
1.065014956010197056e+04,1.974020419788701020e+01
1.065014958139229384e+04,1.973829291660948115e+01
1.065014960268261711e+04,1.973638171709558264e+01
1.065014962397294039e+04,1.973447059934743564e+01
1.065014964526326366e+04,1.973255956336711847e+01
1.065014966655358694e+04,1.973064860915671304e+01
1.065014968784391203e+04,1.972873773655509311e+01
1.065014970913423531e+04,1.972682694589078523e+01
1.065014973042455858e+04,1.972491623700266672e+01
1.065014975171488186e+04,1.972300560989279106e+01
1.065014977300520513e+04,1.972109506456326500e+01
1.065014979429552841e+04,1.971918460101616688e+01
1.065014981558585168e+04,1.971727421925360346e+01
1.065014983687617496e+04,1.971536391927761045e+01
1.065014985816649823e+04,1.971345370109029460e+01
1.065014987945682333e+04,1.971154356453055456e+01
