Time (BJD_TBD - 2450000), F_star + F_e (mJy)
9.917351213991720215e+03,3.447698799758141419e+00
9.917351235637403079e+03,3.447698800612405190e+00
9.917351257283085943e+03,3.447698801466773322e+00
9.917351278928768807e+03,3.447698802321245815e+00
9.917351300574453489e+03,3.447698803175824001e+00
9.917351322220136353e+03,3.447698804030506547e+00
9.917351343865819217e+03,3.447698804885292567e+00
9.917351365511502081e+03,3.447698805740184280e+00
9.917351387157184945e+03,3.447698806595179910e+00
9.917351408802867809e+03,3.447698807450280345e+00
9.917351430448550673e+03,3.447698808305486029e+00
9.917351452094233537e+03,3.447698809160795630e+00
9.917351473739918220e+03,3.447698810016210036e+00
9.917351495385601083e+03,3.447698810871728803e+00
9.917351517031283947e+03,3.447698811727352375e+00
9.917351538676966811e+03,3.447698812583080752e+00
9.917351560322649675e+03,3.447698813438913046e+00
9.917351581968332539e+03,3.447698814294850589e+00
9.917351603614015403e+03,3.447698815150892049e+00
9.917351625259698267e+03,3.447698816007039202e+00
9.917351646905382950e+03,3.447698816863290272e+00
9.917351668551065814e+03,3.447698817719645703e+00
9.917351690196748677e+03,3.447698818576105939e+00
9.917351711842431541e+03,3.447698819432670980e+00
9.917351733488114405e+03,3.447698820289340382e+00
9.917351755133797269e+03,3.447698821146114145e+00
9.917351776779480133e+03,3.447698822002993158e+00
9.917351798425162997e+03,3.447698822859976531e+00
9.917351820070847680e+03,3.447698823717064265e+00
9.917351841716530544e+03,3.447698824574256360e+00
9.917351863362213408e+03,3.447698825431553260e+00
9.917351885007896271e+03,3.447698826288955409e+00
9.917351906653579135e+03,3.447698827146461031e+00
9.917351928299261999e+03,3.447698828004071903e+00
9.917351949944944863e+03,3.447698828861787579e+00
9.917351971590627727e+03,3.447698829719607616e+00
9.917351993236312410e+03,3.447698830577532458e+00
9.917352014881995274e+03,3.447698831435561218e+00
9.917352036527678138e+03,3.447698832293694782e+00
9.917352058173361002e+03,3.447698833151933595e+00
9.917352079819043865e+03,3.447698834010276325e+00
9.917352101464726729e+03,3.447698834868723861e+00
9.917352123110409593e+03,3.447698835727276201e+00
9.917352144756092457e+03,3.447698836585932902e+00
9.917352166401775321e+03,3.447698837444694409e+00
9.917352188047460004e+03,3.447698838303559832e+00
9.917352209693142868e+03,3.447698839162530060e+00
9.917352231338825732e+03,3.447698840021605537e+00
9.917352252984508596e+03,3.447698840880784932e+00
9.917352274630191459e+03,3.447698841740069131e+00
9.917352296275874323e+03,3.447698842599457691e+00
9.917352317921557187e+03,3.447698843458951057e+00
9.917352339567240051e+03,3.447698844318549227e+00
9.917352361212924734e+03,3.447698845178251315e+00
9.917352382858607598e+03,3.447698846038058651e+00
9.917352404504290462e+03,3.447698846897969904e+00
9.917352426149973326e+03,3.447698847757986851e+00
9.917352447795656190e+03,3.447698848618107270e+00
9.917352469441339053e+03,3.447698849478333383e+00
9.917352491087021917e+03,3.447698850338662524e+00
9.917352512732704781e+03,3.447698851199097358e+00
9.917352534378389464e+03,3.447698852059636554e+00
9.917352556024072328e+03,3.447698852920280554e+00
9.917352577669755192e+03,3.447698853781028472e+00
9.917352599315438056e+03,3.447698854641881194e+00
9.917352620961120920e+03,3.447698855502839166e+00
9.917352642606803784e+03,3.447698856363901054e+00
9.917352664252486647e+03,3.447698857225067748e+00
9.917352685898169511e+03,3.447698858086338802e+00
9.917352707543854194e+03,3.447698858947714662e+00
9.917352729189537058e+03,3.447698859809195326e+00
9.917352750835219922e+03,3.447698860670779908e+00
9.917352772480902786e+03,3.447698861532469738e+00
9.917352794126585650e+03,3.447698862394263486e+00
9.917352815772268514e+03,3.447698863256162038e+00
9.917352837417951378e+03,3.447698864118165396e+00
9.917352859063634241e+03,3.447698864980273115e+00
9.917352880709318924e+03,3.447698865842485638e+00
9.917352902355001788e+03,3.447698866704802079e+00
9.917352924000684652e+03,3.447698867567223768e+00
9.917352945646367516e+03,3.447698868429750263e+00
9.917352967292050380e+03,3.447698869292380675e+00
9.917352988937733244e+03,3.447698870155115891e+00
9.917353010583416108e+03,3.447698871017955469e+00
9.917353032229098972e+03,3.447698871880899851e+00
9.917353053874783654e+03,3.447698872743948595e+00
9.917353075520466518e+03,3.447698873607102588e+00
9.917353097166149382e+03,3.447698874470360053e+00
9.917353118811832246e+03,3.447698875333723212e+00
9.917353140457515110e+03,3.447698876197189399e+00
9.917353162103197974e+03,3.447698877060761724e+00
9.917353183748880838e+03,3.447698877924437966e+00
9.917353205394563702e+03,3.447698878788219012e+00
9.917353227040246566e+03,3.447698879652104420e+00
9.917353248685931248e+03,3.447698880516094189e+00
9.917353270331614112e+03,3.447698881380188762e+00
9.917353291977296976e+03,3.447698882244387697e+00
9.917353313622979840e+03,3.447698883108691881e+00
9.917353335268662704e+03,3.447698883973099981e+00
9.917353356914345568e+03,3.447698884837612887e+00
9.917353378560028432e+03,3.447698885702229710e+00
9.917353400205711296e+03,3.447698886566951781e+00
9.917353421851395979e+03,3.447698887431778658e+00
9.917353443497078842e+03,3.447698888296709452e+00
9.917353465142761706e+03,3.447698889161745495e+00
9.917353486788444570e+03,3.447698890026885454e+00
9.917353508434127434e+03,3.447698890892130219e+00
9.917353530079810298e+03,3.447698891757479345e+00
9.917353551725493162e+03,3.447698892622932831e+00
9.917353573371176026e+03,3.447698893488491567e+00
9.917353595016860709e+03,3.447698894354154664e+00
9.917353616662543573e+03,3.447698895219922122e+00
9.917353638308226436e+03,3.447698896085793940e+00
9.917353659953909300e+03,3.447698896951770564e+00
9.917353681599592164e+03,3.447698897817852437e+00
9.917353703245275028e+03,3.447698898684037783e+00
9.917353724890957892e+03,3.447698899550327489e+00
9.917353746536640756e+03,3.447698900416723333e+00
9.917353768182325439e+03,3.447698901283221762e+00
9.917353789828008303e+03,3.447698902149826328e+00
9.917353811473691167e+03,3.447698903016534810e+00
9.917353833119374031e+03,3.447698903883347654e+00
9.917353854765056894e+03,3.447698904750265303e+00
9.917353876410739758e+03,3.447698905617287313e+00
9.917353898056422622e+03,3.447698906484414128e+00
9.917353919702105486e+03,3.447698907351645303e+00
9.917353941347790169e+03,3.447698908218981728e+00
9.917353962993473033e+03,3.447698909086421182e+00
9.917353984639155897e+03,3.447698909953966773e+00
9.917354006284838761e+03,3.447698910821615836e+00
9.917354027930521625e+03,3.447698911689370149e+00
9.917354049576204488e+03,3.447698912557228823e+00
9.917354071221887352e+03,3.447698913425191858e+00
9.917354092867570216e+03,3.447698914293259254e+00
9.917354114513254899e+03,3.447698915161431454e+00
9.917354136158937763e+03,3.447698916029708904e+00
9.917354157804620627e+03,3.447698916898089827e+00
9.917354179450303491e+03,3.447698917766575555e+00
9.917354201095986355e+03,3.447698918635165644e+00
9.917354222741669219e+03,3.447698919503860981e+00
9.917354244387352082e+03,3.447698920372659792e+00
9.917354266033034946e+03,3.447698921241564296e+00
9.917354287678717810e+03,3.447698922110573161e+00
9.917354309324402493e+03,3.447698922979686387e+00
9.917354330970085357e+03,3.447698923848903529e+00
9.917354352615768221e+03,3.447698924718225477e+00
9.917354374261451085e+03,3.447698925587652674e+00
9.917354395907133949e+03,3.447698926457183788e+00
9.917354417552816813e+03,3.447698927326819707e+00
9.917354439198499676e+03,3.447698928196559542e+00
9.917354460844182540e+03,3.447698929066404627e+00
9.917354482489867223e+03,3.447698929936354517e+00
9.917354504135550087e+03,3.447698930806408324e+00
9.917354525781232951e+03,3.447698931676566492e+00
9.917354547426915815e+03,3.447698932546829464e+00
9.917354569072598679e+03,3.447698933417197242e+00
9.917354590718281543e+03,3.447698934287669381e+00
9.917354612363964407e+03,3.447698935158246325e+00
9.917354634009647270e+03,3.447698936028927186e+00
9.917354655655331953e+03,3.447698936899712852e+00
9.917354677301014817e+03,3.447698937770603766e+00
9.917354698946697681e+03,3.447698938641598598e+00
9.917354720592380545e+03,3.447698939512697347e+00
9.917354742238063409e+03,3.447698940383901345e+00
9.917354763883746273e+03,3.447698941255209704e+00
9.917354785529429137e+03,3.447698942126622867e+00
9.917354807175112001e+03,3.447698942998140392e+00
9.917354828820796683e+03,3.447698943869762278e+00
9.917354850466479547e+03,3.447698944741488969e+00
9.917354872112162411e+03,3.447698945613319577e+00
9.917354893757845275e+03,3.447698946485255433e+00
9.917354915403528139e+03,3.447698947357295651e+00
