Time (BJD_TBD - 2450000), L_e/L_star (ppm)
7.260153015301530104e+03,1.118830553413208833e+02
7.260156015601560284e+03,1.120147134398611115e+02
7.260159015901590465e+03,1.121459135607210271e+02
7.260162016201619736e+03,1.122766544504036403e+02
7.260165016501649916e+03,1.124069348599183229e+02
7.260168016801680096e+03,1.125367535445548413e+02
7.260171017101710277e+03,1.126661092640536594e+02
7.260174017401740457e+03,1.127950007825785406e+02
7.260177017701769728e+03,1.129234268686890914e+02
7.260180018001799908e+03,1.130513862955085216e+02
7.260183018301830089e+03,1.131788778405011726e+02
7.260186018601860269e+03,1.133059002856407460e+02
7.260189018901890449e+03,1.134324524173824926e+02
7.260192019201920630e+03,1.135585330266749224e+02
7.260195019501949901e+03,1.136841409089334576e+02
7.260198019801980081e+03,1.138092748642038572e+02
7.260201020102010261e+03,1.139339336969454877e+02
7.260204020402040442e+03,1.140581162161951454e+02
7.260207020702070622e+03,1.141818212355399567e+02
7.260210021002099893e+03,1.143050475730919686e+02
7.260213021302130073e+03,1.144277940516483767e+02
7.260216021602160254e+03,1.145500594984785465e+02
7.260219021902190434e+03,1.146718427454852076e+02
7.260222022202220614e+03,1.147931426291776518e+02
7.260225022502249885e+03,1.149139579906468214e+02
7.260228022802280066e+03,1.150342876757222825e+02
7.260231023102310246e+03,1.151541305347638229e+02
7.260234023402340426e+03,1.152734854228187942e+02
7.260237023702370607e+03,1.153923511995967743e+02
7.260240024002399878e+03,1.155107267294441442e+02
7.260243024302430058e+03,1.156286108814987585e+02
7.260246024602460238e+03,1.157460025294851249e+02
7.260249024902490419e+03,1.158629005518690462e+02
7.260252025202520599e+03,1.159793038318323113e+02
7.260255025502549870e+03,1.160952112572484225e+02
7.260258025802580050e+03,1.162106217208332168e+02
7.260261026102610231e+03,1.163255341199451891e+02
7.260264026402640411e+03,1.164399473567363970e+02
7.260267026702670591e+03,1.165538603381275493e+02
7.260270027002699862e+03,1.166672719757847148e+02
7.260273027302730043e+03,1.167801811862666312e+02
7.260276027602760223e+03,1.168925868908287669e+02
7.260279027902790403e+03,1.170044880155715816e+02
7.260282028202820584e+03,1.171158834914161702e+02
7.260285028502849855e+03,1.172267722540808563e+02
7.260288028802880035e+03,1.173371532442258030e+02
7.260291029102910215e+03,1.174470254072615347e+02
7.260294029402940396e+03,1.175563876934932921e+02
7.260297029702970576e+03,1.176652390580975975e+02
7.260300030002999847e+03,1.177735784610996035e+02
7.260303030303030027e+03,1.178814048675138650e+02
7.260306030603060208e+03,1.179887172471575667e+02
7.260309030903090388e+03,1.180955145747915935e+02
7.260312031203120569e+03,1.182017958300976659e+02
7.260315031503150749e+03,1.183075599976877044e+02
7.260318031803180020e+03,1.184128060670822293e+02
7.260321032103210200e+03,1.185175330328469414e+02
7.260324032403240381e+03,1.186217398944113768e+02
7.260327032703270561e+03,1.187254256562058572e+02
7.260330033003300741e+03,1.188285893276392216e+02
7.260333033303330012e+03,1.189312299230772396e+02
7.260336033603360193e+03,1.190333464619763078e+02
7.260339033903390373e+03,1.191349379687060264e+02
7.260342034203420553e+03,1.192360034726833646e+02
7.260345034503450734e+03,1.193365420083504915e+02
7.260348034803480004e+03,1.194365526151539854e+02
7.260351035103510185e+03,1.195360343376749199e+02
7.260354035403540365e+03,1.196349862254561884e+02
7.260357035703570546e+03,1.197334073331330870e+02
7.260360036003600726e+03,1.198312967204117996e+02
7.260363036303629997e+03,1.199286534520490761e+02
7.260366036603660177e+03,1.200254765979789227e+02
7.260369036903690358e+03,1.201217652331445436e+02
7.260372037203720538e+03,1.202175184376253299e+02
7.260375037503750718e+03,1.203127352966160259e+02
7.260378037803779989e+03,1.204074149004070051e+02
7.260381038103810170e+03,1.205015563445072218e+02
7.260384038403840350e+03,1.205951587294811702e+02
7.260387038703870530e+03,1.206882211610721214e+02
7.260390039003900711e+03,1.207807427501817870e+02
7.260393039303929982e+03,1.208727226128513479e+02
7.260396039603960162e+03,1.209641598703810814e+02
7.260399039903990342e+03,1.210550536491713274e+02
7.260402040204020523e+03,1.211454030808427689e+02
7.260405040504050703e+03,1.212352073022166650e+02
7.260408040804079974e+03,1.213244654552960498e+02
7.260411041104110154e+03,1.214131766873822187e+02
7.260414041404140335e+03,1.215013401509201145e+02
7.260417041704170515e+03,1.215889550036153537e+02
7.260420042004200695e+03,1.216760204084147290e+02
7.260423042304230876e+03,1.217625355335142956e+02
7.260426042604260147e+03,1.218484995523414938e+02
7.260429042904290327e+03,1.219339116436670025e+02
7.260432043204320507e+03,1.220187709914560656e+02
7.260435043504350688e+03,1.221030767849810701e+02
7.260438043804380868e+03,1.221868282188028445e+02
7.260441044104410139e+03,1.222700244927533504e+02
7.260444044404440319e+03,1.223526648120438409e+02
7.260447044704470500e+03,1.224347483871216014e+02
7.260450045004500680e+03,1.225162744337779230e+02
7.260453045304530860e+03,1.225972421731308373e+02
7.260456045604560131e+03,1.226776508316079202e+02
7.260459045904590312e+03,1.227574996410510835e+02
7.260462046204620492e+03,1.228367878385777487e+02
7.260465046504650672e+03,1.229155146666858371e+02
7.260468046804680853e+03,1.229936793732363896e+02
7.260471047104710124e+03,1.230712812114373662e+02
7.260474047404740304e+03,1.231483194399448564e+02
7.260477047704770484e+03,1.232247933227287291e+02
7.260480048004800665e+03,1.233007021291742547e+02
7.260483048304830845e+03,1.233760451340652082e+02
7.260486048604860116e+03,1.234508216175684367e+02
7.260489048904890296e+03,1.235250308653309901e+02
7.260492049204920477e+03,1.235986721683512144e+02
7.260495049504950657e+03,1.236717448230760681e+02
7.260498049804980838e+03,1.237442481313854614e+02
7.260501050105010108e+03,1.238161814005768377e+02
7.260504050405040289e+03,1.238875439434590078e+02
7.260507050705070469e+03,1.239583350782279609e+02
7.260510051005100649e+03,1.240285541285606286e+02
7.260513051305130830e+03,1.240982004235994651e+02
7.260516051605160101e+03,1.241672732979381806e+02
7.260519051905190281e+03,1.242357720917114108e+02
7.260522052205220461e+03,1.243036961504756732e+02
7.260525052505250642e+03,1.243710448252992791e+02
7.260528052805280822e+03,1.244378174727476960e+02
7.260531053105310093e+03,1.245040134548695647e+02
7.260534053405340273e+03,1.245696321392831862e+02
7.260537053705370454e+03,1.246346728990616270e+02
7.260540054005400634e+03,1.246991351128198602e+02
7.260543054305430815e+03,1.247630181646997869e+02
7.260546054605460995e+03,1.248263214443767595e+02
7.260549054905490266e+03,1.248890443470460383e+02
7.260552055205520446e+03,1.249511862735048311e+02
7.260555055505550627e+03,1.250127466300435515e+02
7.260558055805580807e+03,1.250737248285280003e+02
7.260561056105610987e+03,1.251341202863858086e+02
7.260564056405640258e+03,1.251939324265938183e+02
7.260567056705670439e+03,1.252531606777561990e+02
7.260570057005700619e+03,1.253118044740009225e+02
7.260573057305730799e+03,1.253698632550579646e+02
7.260576057605760980e+03,1.254273364662464729e+02
7.260579057905790251e+03,1.254842235584626025e+02
7.260582058205820431e+03,1.255405239882540656e+02
7.260585058505850611e+03,1.255962372177215229e+02
7.260588058805880792e+03,1.256513627145928780e+02
7.260591059105910972e+03,1.257058999522112401e+02
7.260594059405940243e+03,1.257598484095233573e+02
7.260597059705970423e+03,1.258132075711502438e+02
7.260600060006000604e+03,1.258659769272936018e+02
7.260603060306030784e+03,1.259181559738065488e+02
7.260606060606060964e+03,1.259697442121818369e+02
7.260609060906090235e+03,1.260207411495413368e+02
7.260612061206120416e+03,1.260711462987023594e+02
7.260615061506150596e+03,1.261209591780894925e+02
7.260618061806180776e+03,1.261701793118014052e+02
7.260621062106210957e+03,1.262188062295996929e+02
7.260624062406240228e+03,1.262668394668988725e+02
7.260627062706270408e+03,1.263142785648290101e+02
7.260630063006300588e+03,1.263611230701527148e+02
7.260633063306330769e+03,1.264073725353276814e+02
7.260636063606360949e+03,1.264530265184966851e+02
7.260639063906390220e+03,1.264980845834779757e+02
7.260642064206420400e+03,1.265425462998239254e+02
7.260645064506450581e+03,1.265864112427432673e+02
7.260648064806480761e+03,1.266296789931598283e+02
7.260651065106510941e+03,1.266723491377030228e+02
7.260654065406540212e+03,1.267144212686989277e+02
7.260657065706570393e+03,1.267558949842250939e+02
7.260660066006600573e+03,1.267967698880378293e+02
7.260663066306630753e+03,1.268370455896272091e+02
7.260666066606660934e+03,1.268767217042079949e+02
7.260669066906691114e+03,1.269157978527231876e+02
7.260672067206720385e+03,1.269542736618363108e+02
7.260675067506750565e+03,1.269921487639811204e+02
7.260678067806780746e+03,1.270294227972954104e+02
7.260681068106810926e+03,1.270660954056712200e+02
7.260684068406841106e+03,1.271021662387464346e+02
7.260687068706870377e+03,1.271376349518975246e+02
7.260690069006900558e+03,1.271725012062856450e+02
7.260693069306930738e+03,1.272067646687953726e+02
7.260696069606960918e+03,1.272404250120810616e+02
7.260699069906991099e+03,1.272734819145591132e+02
7.260702070207020370e+03,1.273059350604013389e+02
7.260705070507050550e+03,1.273377841395771810e+02
7.260708070807080730e+03,1.273690288477975230e+02
7.260711071107110911e+03,1.273996688865572509e+02
7.260714071407141091e+03,1.274297039631280484e+02
7.260717071707170362e+03,1.274591337905526842e+02
7.260720072007200542e+03,1.274879580876826708e+02
7.260723072307230723e+03,1.275161765791280146e+02
7.260726072607260903e+03,1.275437889952954293e+02
7.260729072907291084e+03,1.275707950723819266e+02
7.260732073207320354e+03,1.275971945523693449e+02
7.260735073507350535e+03,1.276229871830588820e+02
7.260738073807380715e+03,1.276481727180252790e+02
7.260741074107410896e+03,1.276727509166513812e+02
7.260744074407441076e+03,1.276967215441224397e+02
7.260747074707470347e+03,1.277200843714213647e+02
7.260750075007500527e+03,1.277428391753589807e+02
7.260753075307530708e+03,1.277649857385335679e+02
7.260756075607560888e+03,1.277865238493618278e+02
7.260759075907591068e+03,1.278074533020732986e+02
7.260762076207620339e+03,1.278277738967064323e+02
7.260765076507650519e+03,1.278474854391350704e+02
7.260768076807680700e+03,1.278665877410332001e+02
7.260771077107710880e+03,1.278850806199015437e+02
7.260774077407741061e+03,1.279029638990632094e+02
7.260777077707770331e+03,1.279202374076601103e+02
7.260780078007800512e+03,1.279369009806753326e+02
7.260783078307830692e+03,1.279529544589034913e+02
7.260786078607860873e+03,1.279683976889730701e+02
7.260789078907891053e+03,1.279832305233428684e+02
7.260792079207921233e+03,1.279974528203031952e+02
7.260795079507950504e+03,1.280110644439733676e+02
7.260798079807980685e+03,1.280240652643190060e+02
7.260801080108010865e+03,1.280364551571290122e+02
7.260804080408041045e+03,1.280482340040330484e+02
7.260807080708071226e+03,1.280594016924985112e+02
7.260810081008100497e+03,1.280699581158287117e+02
7.260813081308130677e+03,1.280799031731762057e+02
7.260816081608160857e+03,1.280892367695248595e+02
7.260819081908191038e+03,1.280979588157035209e+02
7.260822082208221218e+03,1.281060692283836033e+02
7.260825082508250489e+03,1.281135679300778634e+02
7.260828082808280669e+03,1.281204548491498940e+02
7.260831083108310850e+03,1.281267299198011642e+02
7.260834083408341030e+03,0.000000000000000000e+00
7.260837083708371210e+03,0.000000000000000000e+00
7.260840084008400481e+03,0.000000000000000000e+00
7.260843084308430662e+03,0.000000000000000000e+00
7.260846084608460842e+03,0.000000000000000000e+00
7.260849084908491022e+03,0.000000000000000000e+00
7.260852085208521203e+03,0.000000000000000000e+00
7.260855085508550474e+03,0.000000000000000000e+00
7.260858085808580654e+03,0.000000000000000000e+00
7.260861086108610834e+03,0.000000000000000000e+00
7.260864086408641015e+03,0.000000000000000000e+00
7.260867086708671195e+03,0.000000000000000000e+00
7.260870087008700466e+03,0.000000000000000000e+00
7.260873087308730646e+03,0.000000000000000000e+00
7.260876087608760827e+03,0.000000000000000000e+00
7.260879087908791007e+03,0.000000000000000000e+00
7.260882088208821187e+03,0.000000000000000000e+00
7.260885088508850458e+03,0.000000000000000000e+00
7.260888088808880639e+03,1.281296603239012484e+02
7.260891089108910819e+03,1.281236936136896247e+02
7.260894089408940999e+03,1.281171150241148382e+02
7.260897089708971180e+03,1.281099246180272928e+02
7.260900090009000451e+03,1.281021224641249887e+02
7.260903090309030631e+03,1.280937086369433189e+02
7.260906090609060811e+03,1.280846832168683420e+02
7.260909090909090992e+03,1.280750462901270339e+02
7.260912091209121172e+03,1.280647979487884527e+02
7.260915091509151353e+03,1.280539382907629999e+02
7.260918091809180623e+03,1.280424674198050923e+02
7.260921092109210804e+03,1.280303854454979557e+02
7.260924092409240984e+03,1.280176924832735210e+02
7.260927092709271164e+03,1.280043886543975589e+02
7.260930093009301345e+03,1.279904740859719823e+02
7.260933093309330616e+03,1.279759489109380581e+02
7.260936093609360796e+03,1.279608132680572652e+02
7.260939093909390976e+03,1.279450673019365894e+02
7.260942094209421157e+03,1.279287111630095524e+02
7.260945094509451337e+03,1.279117450075391389e+02
7.260948094809480608e+03,1.278941689976217049e+02
7.260951095109510788e+03,1.278759833011639984e+02
7.260954095409540969e+03,1.278571880919133719e+02
7.260957095709571149e+03,1.278377835494351871e+02
7.260960096009601330e+03,1.278177698591162255e+02
7.260963096309630600e+03,1.277971472121692358e+02
7.260966096609660781e+03,1.277759158056059619e+02
7.260969096909690961e+03,1.277540758422728544e+02
7.260972097209721142e+03,1.277316275308241131e+02
7.260975097509751322e+03,1.277085710857260494e+02
7.260978097809780593e+03,1.276849067272621312e+02
7.260981098109810773e+03,1.276606346815021880e+02
7.260984098409840954e+03,1.276357551803430539e+02
7.260987098709871134e+03,1.276102684614780998e+02
7.260990099009901314e+03,1.275841747684018799e+02
7.260993099309930585e+03,1.275574743504160580e+02
7.260996099609960766e+03,1.275301674625943491e+02
7.260999099909990946e+03,1.275022543658288470e+02
7.261002100210021126e+03,1.274737353267951789e+02
7.261005100510051307e+03,1.274446106179580482e+02
7.261008100810080578e+03,1.274148805175776431e+02
7.261011101110110758e+03,1.273845453096708411e+02
7.261014101410140938e+03,1.273536052840625388e+02
7.261017101710171119e+03,1.273220607363469981e+02
7.261020102010201299e+03,1.272899119678938860e+02
7.261023102310230570e+03,1.272571592858555647e+02
7.261026102610260750e+03,1.272238030031242317e+02
7.261029102910290931e+03,1.271898434383883227e+02
7.261032103210321111e+03,1.271552809160900779e+02
7.261035103510351291e+03,1.271201157664323773e+02
7.261038103810381472e+03,1.270843483253752595e+02
7.261041104110410743e+03,1.270479789346443198e+02
7.261044104410440923e+03,1.270110079416826352e+02
7.261047104710471103e+03,1.269734356997140026e+02
7.261050105010501284e+03,1.269352625676953750e+02
7.261053105310531464e+03,1.268964889103245639e+02
7.261056105610560735e+03,1.268571150980486522e+02
7.261059105910590915e+03,1.268171415070125647e+02
7.261062106210621096e+03,1.267765685191271388e+02
7.261065106510651276e+03,1.267353965220178225e+02
7.261068106810681456e+03,1.266936259090329173e+02
7.261071107110710727e+03,1.266512570792527157e+02
7.261074107410740908e+03,1.266082904374340643e+02
7.261077107710771088e+03,1.265647263940835927e+02
7.261080108010801268e+03,1.265205653654026889e+02
7.261083108310831449e+03,1.264758077732962533e+02
7.261086108610860720e+03,1.264304540453823194e+02
7.261089108910890900e+03,1.263845046149330358e+02
7.261092109210921080e+03,1.263379599209529403e+02
7.261095109510951261e+03,1.262908204081198136e+02
7.261098109810981441e+03,1.262430865267943290e+02
7.261101110111010712e+03,1.261947587330303406e+02
7.261104110411040892e+03,1.261458374885116456e+02
7.261107110711071073e+03,1.260963232606358133e+02
7.261110111011101253e+03,1.260462165224509192e+02
7.261113111311131433e+03,1.259955177526658616e+02
7.261116111611160704e+03,1.259442274356611335e+02
7.261119111911190885e+03,1.258923460614223302e+02
7.261122112211221065e+03,1.258398741256281284e+02
7.261125112511251245e+03,1.257868121295839501e+02
7.261128112811281426e+03,1.257331605802325640e+02
7.261131113111310697e+03,1.256789199901657241e+02
7.261134113411340877e+03,1.256240908775532432e+02
7.261137113711371057e+03,1.255686737662369552e+02
7.261140114011401238e+03,1.255126691856597461e+02
