Time (BJD_TBD - 2450000), L_g/L_star (ppm)
1.014846329552620227e+04,6.261500067805004371e-03
1.014846331640097378e+04,6.267438090027820444e-03
1.014846333727574711e+04,6.273378926705454155e-03
1.014846335815051862e+04,6.279322576806671379e-03
1.014846337902529194e+04,6.285269041365478329e-03
1.014846339990006527e+04,6.291218319860712033e-03
1.014846342077483678e+04,6.297170411776757161e-03
1.014846344164961010e+04,6.303125318147619061e-03
1.014846346252438343e+04,6.309083038454909448e-03
1.014846348339915494e+04,6.315043572180237437e-03
1.014846350427392827e+04,6.321006920360383932e-03
1.014846352514870159e+04,6.326973082474185092e-03
1.014846354602347310e+04,6.332942058000481413e-03
1.014846356689824643e+04,6.338913847981594504e-03
1.014846358777301793e+04,6.344888451372428934e-03
1.014846360864779126e+04,6.350865869218081869e-03
1.014846362952256459e+04,6.356846100994617381e-03
1.014846365039733610e+04,6.362829146178104744e-03
1.014846367127210942e+04,6.368815005813635056e-03
1.014846369214688275e+04,6.374803679380050547e-03
1.014846371302165426e+04,6.380795166350643199e-03
1.014846373389642758e+04,6.386789467773281402e-03
1.014846375477120091e+04,6.392786583121258005e-03
1.014846377564597242e+04,6.398786511873412637e-03
1.014846379652074575e+04,6.404789255074839864e-03
1.014846381739551725e+04,6.410794811677674766e-03
1.014846383827029058e+04,6.416803182727008441e-03
1.014846385914506391e+04,6.422814367701682250e-03
1.014846388001983541e+04,6.428828366074989913e-03
1.014846390089460874e+04,6.434845178892025126e-03
1.014846392176938207e+04,6.440864805634401342e-03
1.014846394264415358e+04,6.446887245769865500e-03
1.014846396351892690e+04,6.452912500351831900e-03
1.014846398439370023e+04,6.458940568856363744e-03
1.014846400526847174e+04,6.464971450751213176e-03
1.014846402614324506e+04,6.471005147089791895e-03
1.014846404701801657e+04,6.477041656818688202e-03
1.014846406789278990e+04,6.483080980994085883e-03
1.014846408876756323e+04,6.489123119083732745e-03
1.014846410964233473e+04,6.495168070560924239e-03
1.014846413051710806e+04,6.501215836481845020e-03
1.014846415139188139e+04,6.507266416317018451e-03
1.014846417226665289e+04,6.513319809536961824e-03
1.014846419314142622e+04,6.519376017197863263e-03
1.014846421401619955e+04,6.525435038770244396e-03
1.014846423489097106e+04,6.531496873727396339e-03
1.014846425576574438e+04,6.537561523122733392e-03
1.014846427664051589e+04,6.543628985897298814e-03
1.014846429751528922e+04,6.549699263112822301e-03
1.014846431839006254e+04,6.555772354234279571e-03
1.014846433926483405e+04,6.561848258737736431e-03
1.014846436013960738e+04,6.567926977676605445e-03
1.014846438101438071e+04,6.574008510521410845e-03
1.014846440188915221e+04,6.580092856742670790e-03
1.014846442276392554e+04,6.586180017399343757e-03
1.014846444363869705e+04,6.592269991429700916e-03
1.014846446451347038e+04,6.598362779895471097e-03
1.014846448538824370e+04,6.604458382264402107e-03
1.014846450626301521e+04,6.610556798001473132e-03
1.014846452713778854e+04,6.616658028173958914e-03
1.014846454801256186e+04,6.622762072249604656e-03
1.014846456888733337e+04,6.628868929690618327e-03
1.014846458976210670e+04,6.634978601564272931e-03
1.014846461063688002e+04,6.641091087338317142e-03
1.014846463151165153e+04,6.647206386477730149e-03
1.014846465238642486e+04,6.653324500047010266e-03
1.014846467326119637e+04,6.659445426981659179e-03
1.014846469413596969e+04,6.665569168343402247e-03
1.014846471501074302e+04,6.671695723602764569e-03
1.014846473588551453e+04,6.677825092221950642e-03
