Time (BJD_TBD - 2450000), F_star + F_h (mJy)
1.063802708333311602e+04,3.658060764645338470e+00
1.063802710516863226e+04,3.658060764579906365e+00
1.063802712700415032e+04,3.658060764514473817e+00
1.063802714883966655e+04,3.658060764449039048e+00
1.063802717067518279e+04,3.658060764383602503e+00
1.063802719251070084e+04,3.658060764318165070e+00
1.063802721434621708e+04,3.658060764252725861e+00
1.063802723618173331e+04,3.658060764187285319e+00
1.063802725801725137e+04,3.658060764121843889e+00
1.063802727985276761e+04,3.658060764056400238e+00
1.063802730168828566e+04,3.658060763990955699e+00
1.063802732352380190e+04,3.658060763925509384e+00
1.063802734535931813e+04,3.658060763860061737e+00
1.063802736719483619e+04,3.658060763794611869e+00
1.063802738903035242e+04,3.658060763729161557e+00
1.063802741086586866e+04,3.658060763663709913e+00
1.063802743270138672e+04,3.658060763598256049e+00
1.063802745453690295e+04,3.658060763532800852e+00
1.063802747637241919e+04,3.658060763467344323e+00
1.063802749820793724e+04,3.658060763401886462e+00
1.063802752004345348e+04,3.658060763336427268e+00
1.063802754187896971e+04,3.658060763270966298e+00
1.063802756371448777e+04,3.658060763205503996e+00
1.063802758555000401e+04,3.658060763140039917e+00
1.063802760738552206e+04,3.658060763074574950e+00
1.063802762922103830e+04,3.658060763009108207e+00
1.063802765105655453e+04,3.658060762943640132e+00
1.063802767289207259e+04,3.658060762878170280e+00
1.063802769472758882e+04,3.658060762812698652e+00
1.063802771656310506e+04,3.658060762747226580e+00
1.063802773839862311e+04,3.658060762681752731e+00
1.063802776023413935e+04,3.658060762616277106e+00
1.063802778206965559e+04,3.658060762550800149e+00
1.063802780390517364e+04,3.658060762485322304e+00
1.063802782574068988e+04,3.658060762419841794e+00
1.063802784757620611e+04,3.658060762354360840e+00
1.063802786941172417e+04,3.658060762288877665e+00
1.063802789124724040e+04,3.658060762223393603e+00
1.063802791308275846e+04,3.658060762157908208e+00
1.063802793491827470e+04,3.658060762092421481e+00
1.063802795675379093e+04,3.658060762026932089e+00
1.063802797858930899e+04,3.658060761961442697e+00
1.063802800042482522e+04,3.658060761895951085e+00
1.063802802226034146e+04,3.658060761830457697e+00
1.063802804409585951e+04,3.658060761764963420e+00
1.063802806593137575e+04,3.658060761699467811e+00
1.063802808776689199e+04,3.658060761633969982e+00
1.063802810960241004e+04,3.658060761568471264e+00
1.063802813143792628e+04,3.658060761502971214e+00
1.063802815327344251e+04,3.658060761437469832e+00
1.063802817510896057e+04,3.658060761371966674e+00
1.063802819694447680e+04,3.658060761306461739e+00
1.063802821877999486e+04,3.658060761240955472e+00
1.063802824061551109e+04,3.658060761175448317e+00
1.063802826245102733e+04,3.658060761109938941e+00
1.063802828428654539e+04,3.658060761044428233e+00
1.063802830612206162e+04,3.658060760978916193e+00
1.063802832795757786e+04,3.658060760913403264e+00
1.063802834979309591e+04,3.658060760847888115e+00
1.063802837162861215e+04,3.658060760782372078e+00
1.063802839346412838e+04,3.658060760716854265e+00
1.063802841529964644e+04,3.658060760651335119e+00
1.063802843713516268e+04,3.658060760585814641e+00
1.063802845897067891e+04,3.658060760520292387e+00
1.063802848080619697e+04,3.658060760454768801e+00
1.063802850264171320e+04,3.658060760389243882e+00
1.063802852447723126e+04,3.658060760323717187e+00
